	Eternal Living Fragrance,万古生香,ばんこしょうかおり
Kimi e Shizumu,君へ沈む,きみへしずむ
Kimi e Shizumu,君へ沈む,きみへしずむ
Kimi e to Juurenka,君へと巡恋歌,きみへとじゅんれんか
Kimi e to Tsuzuku Sakamichi,君へと続く坂道,きみへとつづくさかみち
Kimi e to Tsuzuku Sakamichi,君へと続く坂道,きみへとつづくさかみち
Kimi e Tsuzuku Kiseki,君へ続く軌跡,きみへつづくきせき
Kimi e,君へ,きみへ
Kimi e,君へ,きみへ
Kimi e,君へ,きみへ
Kimi e,君へ,きみへ
Kimi e,君へ,きみへ
Kimi e,君へ,きみへ
Kimi ga Ai ni Iku yo,君に会いに行くよ,きみにかいいにいくよ
Kimi ga Amari ni Mabushisugiru kara Boku wa Chokushi suru koto ga dekinai,君があまりに眩しすぎるから僕は直視することができない,きみがあまりにまぶしすぎるからぼくはちょくしすることができない
Kimi ga Donna ni Doryoku Shitatte,君がどんなに努力したって,きみがどんなにどりょくしたって
Kimi ga Honto ni Hoshii no wa,君がほんとに欲しいのは,きみがほんとにほしいのは
Kimi ga Iru Sekai e,君がいる世界へ,きみがいるせかいへ
Kimi ga Iru Sekai e,君がいる世界へ,きみがいるせかいへ
Kimi ga Iru Sekai e,君がいる世界へ,きみがいるせかいへ
Kimi ga Iru Sekai e,君がいる世界へ,きみがいるせかいへ
Kimi ga Ita Goro,君がいた頃,きみがいたころ
Kimi ga Kanashii Toki ni wa,君が悲しいときには,きみがかなしいときには
Kimi ga Kanashii Toki ni wa,君が悲しいときには,きみがかなしいときには
Kimi ga Matsu Basho e to,君が待つ場所へと,きみがまつばしょへと
Kimi ga Miru Yume o,君が見る夢を,きみがみるゆめを
Kimi ga Negau Nara,キミガ願ウナラ,きみがねがいうなら
Kimi ga Nozomu Mono,キミガ望ムモノ,きみがもちむもの
Kimi ga Ongaku o Yameta Hi,君が音楽を辞めた日,きみがおんがくをやめたひ
Kimi ga Santa Nara Boku wa Tonakai,君がサンタなら僕はトナカイ,きみがさんたならぼくはとなかい
Kimi ga Shinda Hi no Tenki wa,君が死んだ日の天気は,きみがしんだひのてんきは
Kimi ga Shinde mo Uta wa Shinanai,君が死んでも歌は死なない,きみがしんでもうたはしなない
Kimi ga Shinkai o Terasu Darou,キミが深海を照らすだろう,きみがしんかいをてらすだろう
Kimi ga Sonna ni Kamau Kara,君がそんなに構うから,きみがそんなにかまうから
Kimi ga Tame Nara Yasashii Sayonara o,君がためなら優しいさよならを,きみがためならやさしいさよならを
Kimi ga Tame no Shiawase o Sagasu Tabi,君がための幸せを探す旅,きみがためのしあわせをさがすたび
Kimi ga Wasuremono o Shita Toki ni,君が忘れものをした時に,きみがわすれものをしたときに
Kimi Gimi gimmick,君気味ギミック,きみぎみぎみっく
Kimi iro Memory,君色メモリー,きみいろめもりー
kimi izon sho,キミ依存症,きみいそんしょう
Kimi Jochuu Giku,君、ジョチュウ菊,きみじょちゅうきく
Kimi kara Sukoshi Tabacco no Nioi ga Shita,君から少したばこの匂いがした,きみからすこしたばこのにおいがした
Kimi Kofuru Uta,君恋ふる歌,きみこいふるうた
Kimi Kouru Uta,君恋ふる歌,きみこいふるうた
Kimi mo Warui Hito de Yokatta,きみも悪い人でよかった,きみもあくいじんでよかった
Kimi mo Warui Hito de Yokatta,きみも悪い人でよかった,きみもあくいじんでよかった
Kimi mo Warui Hito de Yokatta,きみも悪い人でよかった,きみもあくいじんでよかった
Kimi mo Warui Hito de Yokatta,きみも悪い人でよかった,きみもあくいじんでよかった
Kimi mo Warui Hito de Yokatta,きみも悪い人でよかった,きみもあくいじんでよかった
Kimi mo Warui Hito de Yokatta,きみも悪い人でよかった,きみもあくいじんでよかった
Kimi mo Warui Hito de Yokatta,きみも悪い人でよかった,きみもあくいじんでよかった
Kimi mo Warui Hito de Yokatta,きみも悪い人でよかった,きみもあくいじんでよかった
Kimi mo Warui Hito de Yokatta,きみも悪い人でよかった,きみもあくいじんでよかった
Kimi mo Warui Hito de Yokatta,きみも悪い人でよかった,きみもあくいじんでよかった
Kimi mo Warui Hito de Yokatta,きみも悪い人でよかった,きみもあくいじんでよかった
Kimi mo Warui Hito de Yokatta,きみも悪い人でよかった,きみもあくいじんでよかった
Kimi mo Warui Hito de Yokatta,きみも悪い人でよかった,きみもあくいじんでよかった
Kimi mo Warui Hito de Yokatta,きみも悪い人でよかった,きみもあくいじんでよかった
Kimi mo Warui Hito de Yokatta,きみも悪い人でよかった,きみもあくいじんでよかった
Kimi ni ☆ Splash,君に☆スプラッシュ,きみにすぷらっしゅ
Kimi ni ☆ Splash,君に☆スプラッシュ,きみにすぷらっしゅ
Kimi ni ☆Splash,君に☆スプラッシュ,きみにすぷらっしゅ
Kimi ni Aenai Hibi ga Tsuzuita Nara,君に逢えない日々が続いたなら,きみにあえないひびがつづいたなら
Kimi ni Aenai Hibi ga Tsuzuita Nara,君に逢えない日々が続いたなら,きみにあえないひびがつづいたなら
Kimi ni Ai wa Todokanai to Shitte Ite mo,君に愛は届かないと知っていても,きみにあいはとどかないとしっていても
Kimi ni Ai wa Todokanai to Shitte Ite mo,君に愛は届かないと知っていても,きみにあいはとどかないとしっていても
Kimi ni Kansha no Hanataba o,君に感謝の花束を,きみにかんしゃのはなたばを
Kimi ni Matsuwaru Et Cetera,君にまつわるエトセトラ,きみにまつわるえとせとら
Kimi ni Monochrome,君にモノクロ,きみにものくろ
Kimi ni Okuru Rock 'n' Roll,君に贈るロックンロール,きみにおくるろっくんろーる
Kimi ni Sachiare,君に幸あれ,きみにこうあれ
Kimi ni Sasageru Dancefloor,きみに捧げるダンスフロア,きみにささげるだんすふろあ
Kimi ni Sora,きみの空,きみのそら
Kimi ni Taion,君の体温,きみのたいおん
Kimi ni Te o Futta,君に手をふった,きみにてをふった
Kimi ni Te wo Nobashite,君に手を伸ばした,きみにてをのばした
Kimi ni Telepathy,君にテレパシー,きみにてれぱしー
Kimi ni Todoke Melody,君に届けメロディー,きみにとどけめろでぃー
Kimi ni Todoku Melody,君に届くメロディ,きみにとどくめろでぃ
Kimi ni wa Mienai Nandemoya,君には見えない何でも屋,きみにはみえないなにでもや
Kimi ni wa Mienai Nandemoya,君には見えない何でも屋,きみにはみえないなにでもや
Kimi ni wa Todokanai Sanbika ga,君には届かない賛美歌が,きみにはとどかないさんびかが
Kimi ni Wasureteiku Nante,君を忘れていくなんて,きみをわすれていくなんて
Kimi no Ashita wa Masshiro na Gayoushi,君のあしたは真っ白な画用紙,きみのあしたはまっしろながようし
Kimi no Birthday!,君のバースデー!,きみのばーすでー
Kimi no Brassière♡,君のブラジャー♡,きみのぶらじゃー
Kimi no Egao o,君の笑顔を,きみのえがおを
Kimi no Heart ni Auto Beam,君のハートにオートビーム,きみのはーとにおーとびーむ
Kimi no Inai Machi,君のいない街,きみのいないがい
Kimi no Inai Machi,君のいない街,きみのいないがい
Kimi no Inai Sekai ni wa Oto mo Iro mo Nai,君のいない世界には音も色もない,きみのいないせかいにはおともいろもない
Kimi no Iro wa,君の色は,きみのいろは
Kimi no Jungle,君のジャングル,きみのじゃんぐる
Kimi no Kaku Sekai,キミの描くセカイ,きみのえがくせかい
Kimi no Kibou o Zetsubou ni Kae wa Shinai,君の希望を絶望に変えはしない,きみのきぼうをぜつぼうにかえはしない
Kimi no Kimochi o Kikasete Hoshiinda,君の気持を聞かせてほしいんだ,きみのきもちをきかせてほしいんだ
Kimi no Kisetsu,キミとの季節,きみとのきせつ
Kimi no Koe ga Kikoeru yo,きみの声がきこえるよ,きみのごえがきこえるよ
Kimi no Koe ga Kikoeru yo,きみの声がきこえるよ,きみのごえがきこえるよ
Kimi no Koe o,君の声を,きみのこえを
Kimi no Koe to Kumo no Ito,君の聲と蜘蛛の糸,きみの聲とくものいと
Kimi no Koe,きみの声,きみのごえ
Kimi no Koe,きみの声,きみのごえ
Kimi no Koe,君の音,きみのおと
Kimi no Kokoro ni wa Todokanai,君の心には届かない,きみのこころにはとどかない
Kimi no Lyrical,君のリリカル,きみのりりかる
Kimi no Machi e,君の町へ,きみのまちへ
Kimi no Melody,君のメロディ,きみのめろでぃ
Kimi no Melody,君のメロディー,きみのめろでぃー
Kimi no Migihoho ni Straight Punch Shitai Miku-san,君の右頬にストレートパンチしたいミクさん,きみのみぎほおにすとれーとぱんちしたいみくさん
Kimi no Migihoho ni Straight Punch Shitai,君の右頬にストレートパンチしたい,きみのみぎほおにすとれーとぱんちしたい
Kimi no Mirai wa Ima,君の未来は今,きみのみらいはいま
Kimi No Na O Sagashiteru,君の名を探してる,きみのなをさがしてる
Kimi No Na O Sagashiteru,君の名を探してる,きみのなをさがしてる
Kimi no Na o,君の名を,きみのなを
Kimi no Na o,君の名を,きみのなを
Kimi no Na wa Stainless,君の名はステンレス,きみのなはすてんれす
Kimi no Na wa,君の名は,きみのなは
Kimi no Na wa,君の名は,きみのなは
Kimi no Namae o,きみの名前を,きみのなまえを
Kimi no Namae wo Yonda Ato ni,君の名前を呼んだ後に,きみのなまえをよんだのちに
Kimi no Namae wo Yonda Ato ni,君の名前を呼んだ後に,きみのなまえをよんだのちに
Kimi no Namida to Batsu no Aji,君の涙と罰の味,きみのなみだとばちのあじ
Kimi no Namida to Batsu no Aji,君の涙と罰の味,きみのなみだとばちのあじ
Kimi no Namida wa Trendy,君の涙はトレンディー,きみのなみだはとれんでぃー
Kimi no Namida wa Trendy,君の涙はトレンディー,きみのなみだはとれんでぃー
Kimi no Namida wa Umi no Aji,君の涙は膿の味,きみのなみだはうみのあじ
Kimi no Nukumori,きみの体温,きみのたいおん
Kimi no Nukumori,きみの体温,きみのたいおん
Kimi no omoide ni sayonara woーー.,君の思い出にさよならをーー。,きみのおもいでにさよならをーー
Kimi no Price,君ノプライス,きみのぷらいす
Kimi no Pseudonym,君のシュードニム,きみのしゅーどにむ
Kimi no Pudding to Rental Car,君のプリンとレンタカー,きみのぷりんとれんたかー
Kimi no Sei da wa,君の所為だわ,きみのしょいだわ
Kimi no Sei,キ三ノセイ,きさんのせい
Kimi no Sekai e,君の世界へ,きみのせかいへ
Kimi no Shiaranai Monogatari,君の知らない物語,きみのしらないものがたり
Kimi no Shiawase o Negau Dake no Boku Deshita,君の幸せを願うだけの僕でした,きみのしあわせをねがうだけのぼくでした
Kimi no Shinzou ni E wo Kaita,君の心臓に絵を描いた,きみのしんぞうにえをえがいた
Kimi no Shiranai Tabemonogatari,君の知らない食物語,きみのしらないしょくもつご
Kimi no Soba ni ~Kanawanu Yume~,君のそばにー叶わぬ夢ー,きみのそばにーかなわぬゆめー
Kimi no Soba ni Iru no wa Boku Janai,君のそばにいるのは僕じゃない,きみのそばにいるのはぼくじゃない
Kimi no Subete o Misete yo,キミの全てを見せてよ,きみのすべてをみせてよ
Kimi no Suki na Hana wa Ima mo Ano Basho de Sakitsudzuketeiru,君の好きな花は今もあの場所で咲き続けている,きみのすきなはなはいまもあのばしょでさきつづけている
Kimi no Suki na Uta o Utau yo,君の好きな歌を歌うよ,きみのすきなうたをうたうよ
Kimi no Suki o Boku wa Matteru,君のスキを僕は待ってる,きみのすきをぼくはまってる
Kimi no Sukina Sekai Green,君の好きな世界 ぐりーん,きみのすきなせかいぐりーん
Kimi no Sukina Sekai Orange,君の好きな世界 おれんじ,きみのすきなせかいおれんじ
Kimi no Taiyon,君の体温,きみのたいおん
Kimi No Tame Ni Disuko O,君のためにディスコを,きみのためにでぃすこを
Kimi no Tame ni Sekai wo Kaete Shimaou,君の為にこの世界を変えてしまおう,きみのためにこのせかいをかえてしまおう
Kimi no Tame no Ame no Waltz,君のための雨のワルツ,きみのためのあめのわるつ
Kimi no Uta o Kiita Hi,君の歌を聴いた日,きみのうたをきいたひ
Kimi no Uta o Utau,君のウタを歌う,きみのうたをうたう
Kimi no Uta wa Kikoenai,君の歌は聞こえない,きみのうたはきこえない
Kimi no Uta wa Kikoenai,君の歌は聞こえない,きみのうたはきこえない
Kimi no Yume o Tsukamu Made,君の夢を掴むまで,きみのゆめをつかむまで
Kimi o Kakitakatta,君を描きたかった,きみをえがきたかった
Kimi o Matsu Cafe * Kousaten,君を待つカフェ*交差点,きみをまつかふぇこうさてん
Kimi o mita hikari,君を見た光,きみをみたひかり
Kimi o Mite Itai,君を見ていたい,きみをみていたい
Kimi o Miteru,君を見てる,きみをみてる
Kimi o Miteru,君を見てる,きみをみてる
Kimi o Miteta.,君を見てた,きみをみてた
Kimi o mukae ni iku yo,君を迎えに行くよ,きみをむかえにいくよ
Kimi o naka sete shimaitai,君を泣かせてしまいたい,きみをなかせてしまいたい
Kimi o Negau Koi,きみを願う恋,きみをねがうこい
Kimi o Nosete,君をのせて,きみをのせて
Kimi o Nosete,君をのせて,きみをのせて
Kimi o Nosete,君をのせて,きみをのせて
Kimi o Nosete,君をのせて,きみをのせて
Kimi o Nosete,君をのせて,きみをのせて
Kimi o Nosete,君をのせて,きみをのせて
Kimi o Nosete,君をのせて,きみをのせて
Kimi o Nosete,君をのせて,きみをのせて
Kimi o Nosete,君をのせて,きみをのせて
Kimi o Nosete,君をのせて,きみをのせて
Kimi o Omoeba,君を思えば,きみをおもえば
Kimi o Omou Koto de Tsuzuiteku Mono,君を想う事で続いてくもの,きみをおもうことでつづいてくもの
Kimi o Omou Negai,君を想う願い,きみをおもうねがい
Kimi o Piko Piko,君をピコピコ,きみをぴこぴこ
Kimi o Sagasu Random Walker,君を探すランダム・ウォーカー,きみをさがすらんだむうぉーかー
Kimi o Sagasu Sora,君を捜す空,きみをさがすそら
Kimi o Sagasu,キミを探す,きみをさがす
Kimi o sagasu,君を探す,きみをさがす
Kimi o sagasu,君を探す,きみをさがす
Kimi o Wasureru 100 no Houhou,キミを忘れる100の方法,きみをわすれるのほうほう
Kimi o Wasurete,君を忘れて,きみをわすれて
Kimi Omo wo,君思ヲ,きみおもいを
Kimi Omoi Ame,キミ想い雨,きみおもいう
Kimi Omou Koto de Iki wo Suru,君想フことで生ヲする,きみそうふことでなまをする
Kimi Omou,君想フ,きみそうふ
Kimi to Aruita Kisetsu,君と歩いた季節,きみとあゆみいたきせつ
Kimi to Ashita wo Sagashitara,君との明日を探したら,きみとのあしたをさがしたら
Kimi to Boku Dake no Hero,君と僕だけのヒーロー,きみとぼくだけのひーろー
Kimi to Boku ga Miageru Sora wa,君と僕が見上げる空は,きみとぼくがみあげるそらは
Kimi to Boku no Blues,君と僕のブルース,きみとぼくのぶるーす
Kimi to Boku no Eleven,君と僕のイレヴン,きみとぼくのいれゔん
Kimi to Boku no Find New Age,君と僕のファインドニューエイジ,きみとぼくのふぁいんどにゅーえいじ
Kimi to Boku no Kimyou Love Story,君と僕の奇妙なラブストーリー,きみとぼくのきみょうならぶすとーりー
Kimi to Boku no Sanctuary,君と僕のサンクチュアリィ,きみとぼくのさんくちゅありぃ
Kimi to Boku no Sonority,君と僕のソノリティ,きみとぼくのそのりてぃ
Kimi to Boku no Sonority,君と僕のソノリティ,きみとぼくのそのりてぃ
Kimi to Boku no Sonority,君と僕のソノリティ,きみとぼくのそのりてぃ
Kimi to Boku no Uta,君と僕の詩,きみとぼくのし
Kimi to boku wa nan na no?,君と僕は何なの?,きみとぼくはなになの
Kimi to Bye-bye,君とバイバイ,きみとばいばい
Kimi to Byebye,君とバイバイ,きみとばいばい
Kimi to Coffee Break,君とコーヒーブレイク,きみとこーひーぶれいく
Kimi to Curry Nau!,君とカレーなう!,きみとかれーなう
Kimi to Hi Genjitsu no Natsu e,君と非現実の夏へ,きみとひげんじつのなつへ
Kimi to issho ni dēto kyō wa,君と一緒にデート今日は,きみといっしょにでーときょうは
Kimi to Ita Ichinen,君と居た一年,きみといたかずとし
Kimi to Ita Sakura no Umi de,君といた桜の海で,きみといたさくらのかいで
Kimi to Iu Na no Silhouette,君という名のシルエット,きみというなのしるえっと
kimi to jiyu to ai no uta,キミと自由と愛の歌,きみとじゆうとあいのうた
Kimi to Kaku Mirai,君と描く未来,きみとえがくみらい
Kimi to Kanaderu Ensemble,君と奏でるアンサンブル,きみとかなでるあんさんぶる
Kimi to Kanadeta Ensemble,君と奏でたアンサンブル,きみとかなでたあんさんぶる
Kimi to kiniro no inu,君と金色の犬,きみときんいろのいぬ
Kimi to Kioku no Hanataba o,君と記憶の花束を,きみときおくのはなたばを
Kimi to Koi to Parade,君と恋とパレード,きみとこいとぱれーど
Kimi to Little Universe,君とリトル・ユニヴァース,きみとりとるゆにゔぁーす
Kimi to Little Universe,君とリトル・ユニヴァース,きみとりとるゆにゔぁーす
Kimi to Marine Blue,君とマリンブルー,きみとまりんぶるー
Kimi to Mirai e,君と未来へ,きみとみらいへ
Kimi to Miru Yume wa,君と見る夢は,きみとみるゆめは
Kimi to Mitai Sora no Ao wa,君と見たい空の蒼は,きみとみたいくうのあおは
Kimi to Natsu ga Kawatteyuku,君と夏が終わってゆく,きみとなつがおわってゆく
Kimi to Natsu no Rokuji no Yuuzora,君と夏の六時の夕空,きみとなつのろじのゆうぞら
Kimi to no Christmas,君とのクリスマス,きみとのくりすます
Kimi to no Melody,君とのメロディ,きみとのめろでぃ
Kimi to no Melody,君とのメロディ,きみとのめろでぃ
Kimi to no Parade,君とのパレード,きみとのぱれーど
Kimi to Rerigou,君とれりごー,きみとれりごー
Kimi to Sympathy,君とシンパシー,きみとしんぱしー
Kimi to Watashi no Kaze wa Sora e,キミとわたしの風は空へ,きみとわたしのかぜはそらへ
Kimi to Watashi to Ichigo Milk,キミと私と苺ミルク,きみとわたしといちごみるく
Kimi to Yuutsu to Boku,君と憂鬱とぼく,きみとゆううつとぼく
Kimi wa Adasakura,君は仇桜,きみはきゅうさくら
Kimi wa Atashi no Maarui Yami da,きみはあたしのまあるい闇だ,きみはあたしのまあるいやみだ
Kimi wa Bijin ja nai kara,君は美人じゃないから,きみはびじんじゃないから
Kimi wa Boku ni Kou Itta,君は僕にこう言った,きみはぼくにこういった
Kimi wa Boku ni Nite Iru,君は僕に似ている,きみはぼくににている
Kimi wa Boku ni Niteiru,君は僕に似ている,きみはぼくににている
Kimi wa Cholesterol,君はコレステロール,きみはこれすてろーる
Kimi wa Dekinai Ko,君はできない子 ,きみはできないこ
Kimi wa dekinai ko,君はできない子,きみはできないこ
Kimi wa Dekinai Ko,君はできない子,きみはできないこ
Kimi wa Dekinai Ko,君はできない子,きみはできないこ
Kimi wa Dekinai Ko,君はできない子,きみはできないこ
Kimi wa Dekinai Ko,君はできない子,きみはできないこ
Kimi wa Dekinai Ko,君はできない子,きみはできないこ
Kimi wa Dekinai Ko,君はできない子,きみはできないこ
Kimi wa Dekinai Ko,君はできない子,きみはできないこ
Kimi wa Dekinai Ko,君はできない子,きみはできないこ
Kimi wa Dekinai Ko,君はできない子,きみはできないこ
Kimi wa Deku no Bou,きみはデクの坊,きみはでくのぼう
Kimi wa Doko Fukukaze,君はどこ吹く風,きみはどこふくかぜ
Kimi wa Hito no Tame ni Shineru ka,君は人のために死ねるか,きみはひとのためにしねるか
Kimi wa Hito no Tame ni Shineru ka,君は人のために死ねるか,きみはひとのためにしねるか
Kimi wa Hitori Jya nai,君はひとりじゃない,きみはひとりじゃない
Kimi wa Hitori Jyanai,君は一人じゃない,きみはひとりじゃない
Kimi wa Hoehoe Musume,きみはホエホエ娘,きみはほえほえむすめ
Kimi wa Hoehoe Musume,きみはホエホエ娘,きみはほえほえむすめ
Kimi wa Inase na Girl,君はいなせなガール,きみはいなせながーる
Kimi wa Inase na Girl,君はいなせなガール,きみはいなせながーる
Kimi wa Ite Kureru Ka na,君はいてくれるかな,きみはいてくれるかな
Kimi wa Ite Kureru Ka na,君はいてくれるかな,きみはいてくれるかな
Kimi wa Ittai Dou Omotteru?,きみはいったいどう思ってる?,きみはいったいどうおもってる
Kimi wa iu,君は言う,きみはいう
Kimi wa Jikan wo Koroshita no da,君は時間を殺したのだ,きみはじかんをころしたのだ
Kimi wa Kaeru Basho,きみは帰る場所,きみはかえるばしょ
Kimi wa Kasa o Sasanai,君は傘をささない,きみはかさをささない
Kimi wa Kawai,キミは可愛,きみはかわい
Kimi wa Kimi de aru Koto wo,君は君であることを,きみはきみであることを
Kimi wa Kinnikuman,キミはキン肉マン,きみはきんにくまん
Kimi wa Kocchi,君はこっち,きみはこっち
Kimi wa Maboroshi,君はマボロシ,きみはまぼろし
Kimi wa Mada Fukashi de,君は未だ不可視で,きみはいまだふかしで
Kimi wa Maru de Time Machine no You da,君はまるでタイムマシンの様だ,きみはまるでたいむましんのようだ
Kimi wa Mirai no Onna-no-ko da kara,きみは未来の女の子だから,きみはみらいのおんなのこだから
Kimi wa Mou Inai,君はもういない,きみはもういない
Kimi wa Mujaki na Boku no Joou,君は無邪気な僕の女王,きみはむじゃきなぼくのじょおう
Kimi wa Mujihi na Boku no Joou,君は無慈悲な僕の女王,きみはむじひなぼくのじょおう
Kimi wa Nan Terabyte?,キミは何テラバイト?,きみはなにてらばいと
Kimi wa Nan Terabyte?,キミは何テラバイト?,きみはなにてらばいと
Kimi wa Nani o Miteimasuka?,キミは何を見ていますか?,きみはなにをみていますか
Kimi Wa Nattō Ga Suki,キミは納豆がスキ,きみはなっとうがすき
Kimi wa Nenreiteki ni Shoujo de wa Nai Shoujo,君は年齢的に少女ではない少女,きみはねんれいてきにしょうじょではないしょうじょ
Kimi wa Roadster,君はロードスター,きみはろーどすたー
Kimi wa Roadster,君はロードスター,きみはろーどすたー
Kimi wa Sora e Ochite Yukukara,君は空へ堕ちてゆくから,きみはそらへおちてゆくから
Kimi wa Tada Nikai Tobeba Ii,君はただ二回飛べばいい,きみはただにかいとべばいい
Kimi wa Tada Nikai Tobeba Ii,君はただ二回飛べばいい,きみはただにかいとべばいい
Kimi wa Tenneniro,君は天然色,きみはてんねんしょく
Kimi wa Tenshi ni Naritakute,君は天使になりたくて,きみはてんしになりたくて
Kimi wa Tomodachi,君は友達,きみはともだち
Kimi wa Tooku Boyaketa Sora no Kanata no Mukou,君は遠くボヤけた空の彼方の向こう,きみはとおくぼやけたそらのかなたのむこう
Kimi wa Uchuujin,君は宇宙人,きみはうちゅうじん
Kimi wa Umi no Soko,君は海の底,きみはうみのそこ
Kimi wa Utsukushii yo,キミは美しいよ,きみはうつくしいよ
Kimi wa Warau.,君は笑う。,きみはわらう
Kimi wa Warukunai,君は悪くない,きみはわるくない
Kimi wa Watashi Dake no Gum,君は私だけのガム,きみはわたしだけのがむ
Kimi wa Watashi wo Suki ni Naru,キミは私を好きになる,きみはわたしをすきになる
Kimi wa Yume no Naka ni,君は夢のなかに,きみはゆめのなかに
Kimi wa Zakuro,君は柘榴,きみはざくろ
Kimi wa Zakuro,君は柘榴,きみはざくろ
Kimi wa,君は,きみは
Kimi wo Otona?,君は大人?,きみはおとな
Kimi x Kimi,君×キミ,きみかけるきみ
Kimi-iro Lechenultia,君色レシュノルティア,きみいろれしゅのるてぃあ
Kimi-iro Soda,君色ソーダ,きみいろそーだ
kimi-Machi Christmas Eve,君待ちクリスマスイブ,きみまちくりすますいぶ
Kimidakewa kegarenaide.,君だけは汚れないで。,きみだけはよごれないで
Kimidori-iro no Sen,キミドリ色の線,きみどりしょくのせん
Kimidori-iro no Sen,キミドリ色の線,きみどりしょくのせん
Kimidori,君鳥,きみとり
Kimigainai Sora ni Boku wa Chikau,君が居ない空に僕は誓う,きみがいないそらにぼくはちかう
Kimigainai Sora ni Boku wa Chikau,君が居ない空に僕は誓う,きみがいないそらにぼくはちかう
Kimigainai Sora ni Boku wa Chikau,君が居ない空に僕は誓う,きみがいないそらにぼくはちかう
Kimigayo Jazz,君が代ジャズ,きみがよじゃず
Kimiiro Another Sky,君色アナザースカイ,きみいろあなざーすかい
Kimiiro Heroism,君色ヒロイズム,きみいろひろいずむ
Kimiiro Install,君色インストール,きみいろいんすとーる
Kimiiro Jump,君色ジャンプ,きみいろじゃんぷ
Kimiiro Macchiato,君色マキアート,きみいろまきあーと
Kimiiro Mizufuusen,きみいろ水風船,きみいろすいふうせん
Kimiiro no Stage de,キミ色のステージで,きみしょくのすてーじで
Kimiiro Rhythm,君色リズム,きみいろりずむ
Kimiiro Signal,君色シグナル,きみいろしぐなる
Kimiiro Weather Report,君色ウェザーリポート,きみいろうぇざーりぽーと
Kimikage Enbukyou -Kitsune no Yomeiri-,鬼美影演舞狂-狐ノ嫁入リ-,おにみえいえんぶきょうきつねのよめいり
Kimiomo Shooting Star,君想シューティングスター,きみそうしゅーてぃんぐすたー
Kimochi no Puzzle,気持ちのパズル,きもちのぱずる
kimorizoraharashite,曇り空晴らして,くもりぞらはらして
Kin Mirai Nostalgia,近未来ノスタルジー,きんみらいのすたるじー
Kin no Iribi ni Tefuukin,金の入日に手風琴,きんのいりひにてふうきん
Kin no Iribi ni Tefuukin,金の入日に手風琴,きんのいりひにてふうきん
Kin'iro Orca,金色オルカ,きんいろおるか
Kina no Kaori - Ai no Shiren!,キナノカオリー愛の試練!,きなのかおりーあいのしれん
Kina No Kaori ~Ai No Shiren!~,キナノカオリー愛の試練!ー,きなのかおりーあいのしれんー
Kinboshi,金星,かなぼし
Kindai-ka rireeshon,近代化リレーション,きんだいかりれーしょん
Kindan no Kotowari wa Zetsubou no Toiki no Naka ni,禁断の理は絶望の吐息の中に,きんだんのりはぜつぼうのといきのなかに
Kindan no Roulette,禁断のルーレット,きんだんのるーれっと
Kindan no Roulette,禁断のルーレット,きんだんのるーれっと
Kindan no Roulette,禁断のルーレット,きんだんのるーれっと
Kinetic Hen'ai Club,キネティック偏愛倶楽部,きねてぃっくへんあいくらぶ
King Lear of California,カリフォルニアのリア王,かりふぉるにあのりあおう
King of the Majokko Youko,キング・オブ・魔女っ子妖子,きんぐおぶまじょっこようこ
King of the world,世界王者,せかいおうじゃ
Kingyo no Mukou ni wa Itsumo Kimi ga Iru,金魚の向こうにはいつも君がいる,きんぎょのむこうにはいつもきみがいる
Kingyo no Mukou ni wa Itsumo Kimi ga Iru,金魚の向こうにはいつも君がいる,きんぎょのむこうにはいつもきみがいる
Kingyo-hime to Hayashi-uta,金魚姫と囃子歌,きんぎょひめとはやしか
Kini naru Ano Ko,気になるあの娘,きになるあのむすめ
Kiniro no tsuki to kuro neko no uta ,金色の月と黒猫の歌,きんいろのつきとくろねこのうた
Kiniru Rhapsody,金色ラプソディー,きんいろらぷそでぃー
Kinkanbata de Aimashou,金柑畑で会いましょう,きんかんはたけであいましょう
Kinkyori Renai ,近距離恋愛,きんきょりれんあい
Kinmirai Fusion,近未来フュージョン,きんみらいふゅーじょん
Kinnironohoshisagasitetara,金色の星探してたら,きんいろのほしさがしてたら
Kinō no Shokuji,昨日の食事,きのうのしょくじ
Kinoko o Tabero,キノコを食べろ,きのこをたべろ
Kinou kyou ashita loop,昨日今日明日ループ,きのうきょうあするーぷ
Kinou no Bench,昨日のベンチ,きのうのべんち
Kinou no Bench,昨日のベンチ,きのうのべんち
Kinou no Hiruma Made Renraku o Toretetan Dakedona,昨日の昼間まで連絡を取れてたんだけどな,きのうのひるままでれんらくをとれてたんだけどな
Kinou no Nikki o Kyou Kaitemiyou,昨日の日記を今日書いてみよう,きのうのにっきをきょうかいてみよう
Kinou no Tsudzuki,昨日のつづき,きのうのつづき
Kinou no Watashi ni Bye Bye Shiyo,過去の自分にさよならしよ,かこのじぶんにさよならしよ
Kinou no Yesterday,昨日のイエスタデイ,きのうのいえすたでい
Kinou no Yuuhan France Pan (10-nen Iwai),昨日の夕飯フランスパン(10年祝い),きのうのゆうはんふらんすぱんじゅうねんいわい
Kinou o Umaku  Ikirarenakatta Bokutachi wa Kitto Ashita mou Moku Ikirarenai.,昨日をうまく生きられなかった私達はきっと明日もうまく生きられない。,きのうをうまくいきられなかったわたしたちはきっとあしたもうまくいきられない
Kinou o,昨日を,きのうを
