Kokoro,ココロ
,unused impulse
Shinshoku Doguman,心蝕ドグマ
Owaranai Pareedo,終わらないパレード
Ai Uon Chuu,あいうぉんちゅー
,S.K-y
Higashi no Majo,東の魔女
Abazure ni Buruusu o,あばずれにブルースを
Warutsu no Ma ni Fukarete,ワルツの魔に吹かれて
Garakuta no Boku Ni,がらくたの僕に
,transient dream
,Cullet
,疑神疑鬼
Mukuchi na Kimi e,無口な君へ
,Thunder Girl
Kyoretsu na Iro,強烈な色
Tenohira,テノヒラ
Shiro no Kisetsu,白の季節
Haroo Nyuu Waarudo,ハロー・ニューワールド
Karafuru na Ame to Monokuro no Kioku,カラフルな雨とモノクロの記憶
,cosmic ballad
,白雪～sirayuki～
Kuina,水鶏
,Ten Thousand
Hatsutaiken,初体験 
Watashi no Aaru,わたしのアール
Merri Baddo,メリーバッド
Ranshou Seimei,濫觴生命
Imouto Puri~zu!,妹プリ～ズ！
Yukimine ~yukimine~,雪峰 ～yukimine～
,小孩
Noraneko,ノラネコ
,菌裂
,时盘上的神偷
,Cymatics
Dasuto,ダスト
Teitei Shinjae,ていていしんじゃえ
Yumekui,ユメクイ
Nemuraneeze,ネムラネーゼ
Utsukushii Hana,鬱くしい花
Shinpurizumu,シンプリズム
,Another
"Shinitai Juudai, Koroshitai Nijuudai",死にたい十代、殺したい二十代
Shuumatsu no Myuutorogia,終末のミュートロギア
Sutoratokyasutaa,ストラトキャスター
Chi no Hana,血の華
Kirisaki Sachiko wa Yonaga ni Warau,切裂サチコは夜長に笑う
Seishuu Rainaa,セイシュンライナー
Taurin 1000mg High Go!!,タウリン1000mg High Go!!
"Toki no Ame, Saishuu Sensou",時ノ雨、最終戦争
Kotonoha Kurinikku,言の葉クリニック
Shoujo wa Yoru to Azayaka ni,少女は夜と鮮やかに
Shimizu Motsu Karee no Uta,清水もつカレーのうた
Shoujo Keshigomu,少女ケシゴム
Atooi Jisatsu ni Teihyou no Arumicchan,後追い自殺に定評のあるみっちゃん
Yuien Sakura Shou,結遠桜抄
Romaji: Boufu Hakurei no Sugata wa Shibomeru Hana no Youni Iro Noute,亡婦魄霊の姿は凋める花の様に色無うて
Manhooru Daibaa,マンホールダイバー
,Chain
Sekai ni Kirawareta Love Song,世界に嫌われたラブソング
,ロジックギア
Shishunki ♥ Senseeshon,思春期♥センセーション
,α
Koufuku na Shounen,幸福な少年
,台阶上的玻璃鞋
,THE INVISIBLE FACT
,cry
Kuishinbou no Rhapsody,食いしん坊のラプソディ
,One-Sided Love
Korusetto Waiyaa Dureeshon,コルセット・ワイヤー・デュレーション
Hatsune Miku no Yasashii Nemuri,初音ミクの優しい眠り
,afternoon sunshine
Hayari Kotoba,はやりことば
Bachisukeefu Karoru,バチスカーフ・カロル
,epic
Hana Miru Hito,花見る人
Kiyoku Tadashiku,清く正しく
Kanzen na Kousou,完全な構想
Shintoatsu,浸透圧
Seishun Omnibus,青春オムニバス
Mai Hatto Fantajii,マイハットファンタジー
Haroo Waarudo,ハローワールド
,E　a　Z　y　W　o　R　l　d
,The Council of ????
,Faceless Radio Signal
,Ko Ko Da Yo
,apricot
Purinsesu wa Yume no Naka,プリンセスは夢の中
Sekijitsu Anaguramu,昔日アナグラム
Soutai no Mon,相対の門
Ekohiiki,エコヒイキ
,Vanish Into Thin Air
,Synthesis Theory
,Love Me In The Light
Shiawase no Kotoba,幸せの言葉
Mugen Yakou,無限夜行
Kimi Nashi Bijon,キミナシビジョン
,Reach for the Bluesky
,リスキーダイス
,Wanderlust
Susanoo,スサノヲ
Shuuen no Utahime,終焉の歌姫
,The Real Intention
,Fun is Infinite
,Happiness
,妄想不到的恋曲
,graduation
,归一
,Primadonna
Kimera,キメラ
Shiki Toki Uta,四季刻歌
,Ding-Dong
Tori Setsu,トリセツ
,crossfade
Hayashi Uta,囃子唄
,Lovesick♡Syndrome
,MOTH (mother)
,this is my goodbye
,The Pianist's Lament
Haru Koi Uta,ハルコイウタ
Ue kara Mesen,上から目線
,Ignition
"Kairaku to Sougi, Mitasarenai Dinner",快楽と葬儀、満たされないディナー
,7/8
,Re:present
,学生素质教育系统
"Boku Mitai na Kimi, Kimi Mitai na Boku",僕みたいな君 君みたいな僕
,Warning!
Petenshi ga Warau Koro ni,ペテン師が笑う頃に
,Desire
Kokuhaku,告白
Karafuru × Sekushii,カラフル×セクシィ
,Majo Le Septet
,一人行者
,Phoenix
,Reload Words
Konekutikku Gaaru,コネクティックガール
,Sa-Ku-Ra
,ほんの少しのさよなら
,Farewell Song
,灼之花
Izayoi Gekka,十六夜月花
Tenshi Tsuihou,天使追放
,In the Shell
Guuzou Musen,偶像無線
,Alive
,爱就是活见鬼
,PIECE
,My Voice
,힘차게 활기차게 자신있게!!
,MIKO
,Crystal Clouds
,Diva
,9192631770
,悬空
Koi wa Furu Surottoru!!,恋はフルスロットル！！
Mikagura no Noritogoto,御神楽の詔刀言
Ikirouta,イキロウタ
,Dear friend
,白石溪
,JUMP OVER
Enban,えんばん
Tomoshibi,灯火
,Self Collapse
,Sky Fall Down
,"Ray of Future'''"" "
,Dependence Intension
,プレパラートデイズ
,緋焰悲空
,ミュージックミュージック
,"Nothing's Gonna Stop Me Now'''"" "
,고기죠아♥
,Standing Here
,치킨죠아♥
,Mad Lovers
,Wavelength
,如旧
,Brides of Dracula!!!
,일곱빛 마을
Kokuu Senshi Maji Supaidaa,虚空戦士マジスパイダー
,三重爱恋
Nekototori,ネコトトリ
,残月雪
,RainWords
,봄 저녁 레모네이드
Arikitari Hiiroozu,在来ヒーローズ
Onaji Youni,同じように
,不辍
,"rain stops, good-bye"
Maria,マリア
Miku Miku☆Samaa Naito Fantajii,ミクミク☆サマーナイトファンタジー
,GravityRain
,バトるロイヤルバレンタイン！
,Star Shining Love
,endless symphony
Myuujikku Raundo,ミュージックラウンド
,FLASH BACK
Tsumi no Tsuki,罪ノ月
,Karma
,PONY
Dai Sanji Purin Sensou,第三次プリン戦争
,MEtEMpSychoSiS
,Pequeña Romanza
,Frozen Warmth
Naichingerru no Uta,ナイチンゲールノウタ
,Mission
Shasou no Kanojo,車窓の彼女へ
Kurobuchi Megane Gaaru,黒縁眼鏡ガール
Syugaa Sain,シュガーサイン
Konna Atashi DO de Show!?,こんなアタシDOでShow!?
Katatsumuri,かたつむり
Pokkan Karaa,ぽっかんカラー
Mata Ashita,また明日
Aoi Toki,蒼い時間
☆Majikaru☆,☆マジカル☆
Hazukashii no Love Song o Kimi Ni.,恥ずかしいほどのラブソングを君に。
,Science
Sorairo Deizu,空色デイズ
Yoimachigoi,宵待恋
,Come to me
Oshaberi Hito no Arienai Hanashi,The Tattler's Tall Tale
,freesia
Yumemi Gokochi,夢見心地
,alphabet
,Ephemeral
,Kanto de la Ĉielarko
Kafe Ratte,カフェラッテ
,Feel Happiness ～birth～
,"My Soul, Your Beats!"
Watashi no GOOD-BYE,わたしの GOOD-BYE
Kuroneko,黒猫
Tsumi no Namae,罪の名前
,Satisfaction
High!High!! Sama Rabu♥,"""High!High!!サマらぶ♥"
,R.O.C.K.E.T
,Leave
Riaru Hatsune Miku no Shoushitsu,リアル初音ミクの消失
,Hero
,Realize
Nayameru Shounen Nuge Shoujo,悩める少年脱げ少女
,Forsaken by the Ghost loves me
Ookami Nanka Kowakunai!,おおかみなんかこわくないッ！
Tantei Yowane Haku no Yuuutsu,探偵弱音ハクの憂鬱
Himawari to Uta no Hanataba,ひまわりと歌の花束
,ice crown
,ホォカスポゥカスクッキング
,ストレンジマスカレエドハロウィン
Greedy Halloween Candy Nights,グリィディハロウィンキャンディナイツ
,ブレンダー・ブレンダー
Kujira no Machi,"""くじらの街"
,Good Night
"Gokusai, Senken no Sakana.",極彩、嬋娟ノ魚。
,7
,末日派热舞
364 Piisu no Jaanii,364ピースのジャーニー
,StarLaLaLa
Yume no Shima,夢ノ島
,Change The World
,九九八十一
,Give me your love tonight
Itsuki no Otome ~Sennen no Wiegenlied~,樹の乙女～千年のヴィーゲンリート～
,二番街のクラウン
Banjou Toshi Piano Forte,盤上都市ピアノフォルテ
,星愿
Gyakushuu no Roodorooraa,逆襲のロードローラー
,Laughter
,Exequias
,ヴァンパイア・ガール
,MELON
,Whisper
Dare mo Shiranai Happi Endo,誰も知らないハッピーエンド
Watashi wa Ano Ko no 2P Karaa,私はあの子の2Pカラー
,Chanson d'automne
,Gaudium Non Gladium
,Inauspicious Radio Hosts Broadcast Through White Noise
,COLORBARS
Tsuisou no Orugooru,追想のオルゴール
,RISE
,虚拟神明
Namekuji to Bigazoo,蛞蝓とビガゾー
Ameijingu Majishan,アメイジング・マジシャン
"Soushuu Renbo<ref group=""note"">蘇州 in Japanese is usually pronounced as ""'''Soshuu'''"", but the author asserts ""'''Soushuu'''"".</ref>",蘇州恋慕
,デッドエンドストリート
,タロンギ
,火吻
Natsugare Blues,夏枯れブルース
,True Feeling
VOCALOID-tachi ga Tada tettey-terettey Suru Dake,ボーカロイドたちがただﾃｯﾃｰﾃﾚｯﾃｰするだけ
Genjitsu Nonfikkushon,現実ノンフィクション
,Here Comes the Woodsman
,The Greatest in Heaven
,Matrimony - The Vow Is Sacred Now
,The Abyss Is Real
,My Shining Angel
,유니버스
,나 그대처럼
Dekinai Sagi,デキナイ詐欺
,Sweets & Bitters
,韶华未既
,ハッピー・トリガー・ハッピー
,Who Killed Poor Eliza?
,One-Shot Love Addict
,君临天下
,囚禁女神
Katana Uta,刀歌
Hanamusubi,花結び
,中华缘木娘
,Do You & So You
Shuumatsu Shounen Hänsel,終末少年ヘンゼル
Kuusou Shoujo,空想少女
,Cosmic Cruise
,Changing
,Abuse Me
,Anga's Aria
,Heart Breaker
,Morning Light
Hikarizakura,ヒカリザクラ
,El Samurai de la Cumbia
,시유죠아♥
,Discords
,DIATONIC
Attakaito,あったかいと
,星之伊始
,Nervous
Nabaasu,ナーバス
,Innocent Mind
Mugen Utopia,夢幻ユートピア
Santa Kuroosu no Deshi,サンタクロースの弟子
Happii Torappu,ハッピートラップ
Kimi no Kotoba,キミノコトバ
Watashi Otoko to Ore Onna,私男と俺女
Anon Kanon ni Jazz o Utatte Itadakimashita,杏音鳥音にジャズを歌っていただきました
,Into Starlight
,"Onii-chan, Please Find Love"
,Etoile Filante
,lovE=mc²
,False Light
,Aether
,Happy Magic Hour
,Memories
,九秒之言
,Dreadnought
,刺客列传
,Our Belief
,One More Time
,Heartbeat (I Will Rise Again)
Kabura Kegare no Chikore -Ground of Devastation-,蕪穢の地維-Ground of Devastation-
,WINTER SONG
,Last letter
,Soldier
Furkanken no Niwa,フランケンの庭
Ikiteru Obake wa Ikite iru,生きてるおばけは生きている
,惊蛰
Matataki,またたき
Dokoka de Kiita Uta,どこかで聞いた唄
Kimi no Hou e Boku no Hou e.,君の方へ、僕の方へ。
,-Breathing-
Youtei no Mori,幼帝ノ森
Akai Ryoute -Metal Dolls II-,赤い両手-Metal Dolls II-
,Killer Ghost
Ito Denwa,糸電話
Ai no Chaban Gekijou,あいの茶番劇場
,茉莉花的音符
,Try Again
,±
,응어리
Sugee App Kaihatsuchuu,すげえアプリ開発中
,Drug Of Gold
Toshin,妬心
,Amazing Dolce
,Queen Of The Glass
"""Ma"" Keikaku",「Ma」計画
"Nozarashi no Kubi, Onigashima Nite",野ざらしの首、鬼ヶ島にて
Soushitsu Monokuroomu,喪失モノクローム
Tasogare,誰そ彼
Karafuu Poppu Biito,カラフルポップビート
Buchi Nuke! 2008!,ぶちぬけ！2008！
Mattaku Mi ni Naranai Songu,全く身にならないソング
,C lonely tonight
Kikai Jikake no Utahime,機械仕掛けの歌姫
Furu Pawaa! Majikaru Boisu!,フルパワー！まじかるぼいすっ！
Omae to Iu Na no Monogatari wa Namida de Yogorechimatteru,お前という名の物語は泪で汚れちまってる
,I Won't Heal Unless I Hurt
,I Love You So Much
,New Romantic
,I Don't Feel OK
,Rin's Punk Song
,Rin Indie Song
,Encephalon
Mentaru Risetto no Uta,メンタルリセットの歌
Chiruno no Suugaku Kyoushitsu,チルノのすうがく教室
,The Sweet Darkness Love
Sou Ai Sei Ri Ron,相愛性理論
Sono Na o Kuchi ni Suru,其の名を口にする
,COSMIC LUCKY
,Daybreak
,Dwi'n Caru Cymru
,Luka Rave Song
,Bright Town
,Daydream Flight
,Twilight Scape
Tsubaki no Hana,椿の花
AO ～Itsu Datte Sugu Soba ni,AO～いつだってすぐ側に～
Asuterizumu,アステリズム
,Little Wish
Donguri Korokoro,どんぐりころころ
Hamabe no Uta,浜辺の歌
Samishii Nettaigyo,淋しい熱帯魚
Mosura no Uta,モスラの歌
,Greensleeves
,マリオネット
,U-Suzumi
,Forbidden
,时一现耳三千岁
,Beautiful City of Love
,Shooting Love
,Graceful Dance
,Luka Punk Song
,四重罪孽
,Yakusoku
Kiseki no Yukue,奇跡の行方
Watashi wa Kikai Dakara,나는 기계이기 때문에
Seichi Erusaremu,聖地エルサレム
Bokaran Sagi,ボカラン詐欺
,faraway
Soshite Shoujo wa Kurui Dashita -Shuumatsu Tsukiyo Shou-,そして少女は狂いだした -終末月夜抄-
Rurira Rurira to Hibiku Uta,るりらるりらと響く唄
Bariizooru no Kodomo wa Hitorikko,バリーゾールの子供は一人っ子
,master of the graveyard
,master of the hellish yard
,master of the court
,消失与代替的救赎之歌
,光流终焉
,떠나지마
,Hardworking B▬tch
Kimi Ijou Boku Miman,キミ以上、ボク未満。
,DON'T EVEN TRY BOY
,Serenely Sky
Mitsuba,みつば
Kimochiwarui,きもちわるい
,Miracle
Kazoe Kirenai Hoshi wa,数えきれない星は
,Different Seas
,미아
,El Trenecito
,Por Una Rosa
,Derroche
,"Tres Cosas (Salud, Dinero y Amor)"
,오징오징 오징징
,为你而来
"Mata ne, Tameiki.",またね、ため息。
Ryuu no Tani to Taiyou no Toride,龍の谷と太陽の砦
,급식민족
,D调华尔兹
Ruuju no Dengon,ルージュの伝言
,하이텐션 소녀
,COLOR
,Splinters
,遥望星辰
,ザタワーオブデカダン
,phantom～ファントム～
Eclair ~Kieta Anata no Tame no Chinkonka~,Eclair～消えた貴女のための鎮魂歌～
Kirameki Sunou Sutaa Main,キラメキスノウスターマイン
,スウィートレイニーロンリネス
Kubitsuribito no Ki to Futari no Otoko,首吊り人の樹と二人の男
,フロッグダンス
,尘降
,不就打吊瓶么
,Alert
,내일 시험인 노래
,リバァスドールガーデン
,双生契
Gomennasai wo Ieru Kana,ごめんなさいを言えるかな
Hon o Tojireba,本を閉じれば
,"""'''Roller Coaster"
,Here
,Blossom
Chururira・Chururira・Daddadda!,チュルリラ・チュルリラ・ダッダッダ！
,ROTARY DIAL
,Foolish Heart
,梦关山
,Speechless
,ハロー、ナイトライツ
,Locked in a Game
,kill my memory
,星空下的坚强
,牵相伴
,"""StarCrew"""
,单方面的爱
Gekkou Tootaru Ikuripusu,月光トータルイクリプス
,牧星者
Hoshi no Uta,ホシノウタ
,look
Kowarete iku,壊れて行く
Boku wa Oppai Seijin,僕はおっぱい星人
,起来！
,SAKE★BEAT
"""Ma"" Survival- Ikinokoru no wa Dare da? -",「Ma」サバイバル - 生き残るのは誰だ？ -
,アフターワールド
,Live Proof
Ima wo Ikiru Boku e,今を生きる僕へ
,海棠仙
Ruri-iro Ginga,瑠璃色銀河
,Caminar
,五重空洞
,ジ・オープン
,黑暗审判
,落花霁
"""W"" Nijuujinkaku Kurosuoobaa",「W」二重人格クロスオーバー
Kibou no Uta,希望の歌
,Lovely Secret
,Mute Memory
Kirisaku Shijima,切り裂く静寂
,Honey-sweet despair
,Rainbow Galaxy
,上城名媛
Tasogare Iro no Kioku,たそがれ色の記憶
,HOLD FIRE
Kimi ga Suki,きみがすき
Eirian Gaarufurendo,エイリアンガールフレンド
,Stray Cats On The Night
,立夏
,Parasite
,Copycat
,ドレミファミックス
Tsuki to Fuusen,月と風船
Onna no Ko no Skirt ga Totsuzen Mekuretari Shinai ka naa,女の子のスカートが突然めくれたりしないかなあ
,Ich Habe Keine Angst
Sukina Koto Dake de ii Desu,すきなことだけでいいです
,Beautiful Nightmare
,失衡天平
,星尘纪行
,星临
,风筝告别的前夜
Himeyuri Enbukyo,姫百合演舞京
,セパレイティヴ・ラブ
Nagomi -Nagomi-,和 -Nagomi-
,UNBREAKABLE
Watashi to Hitotsu no Shinzou o,私ト一ツノ心臓ヲ
,メリーゴーランド
,红
Seireen,せいれーん
,由
Kokuu no Hate ni,黒雨の果てに
,UNI
Buraikku Jikoraizaa,無頼ック自己ライザー
,クワイエットプログラム
,忧-blue-
,当风过境
,Shoutër
,食之歌
,BLACK & WHITE
,荆棘王冠
,ライアーダンス
,Jack the Ripper
,Scream
,Deja Vu
,不如旅行去远方
Watashi wa Futari no Oiwai ni,私ハ二人ノオ祝イニ
,"""불투명인간"""
,Secret Garden
,REGRET
,ブラインドテラー
,メルヘンポップカラーゴブリン
China Cyber@Wo Ai Ni,チャイナサイバー＠ウォーアイニー
,The Things I Deserve
,流光逝梦
Kurisumasu Ivu no Yoru ni -Shiawase Saido-,クリスマスイヴの夜に-幸せサイド-
Kurisumasu Ibu no Yoru ni -Hitorimi Saido-,クリスマスイヴの夜に-独り身サイド-
Kurisumasu Ivu no Yoru ni -Fushiawase Saido-,クリスマスイヴの夜に -不幸せサイド-
,ホワイト・デイ
Koi Iro Sukereton,恋色スケルトン
,リングポップラブ
Nokoru Natsu ni Hanataba o,残る夏に花束を
Hoshizora Eetaru Geizaa,星空エーテルゲイザー
,Hidden Grudges
,チョコレートイズラブバレット
,ポルカドットエイリアン
Getsumen no Machi,月面の街～け゛つめんのまち～
,メルティングスノウマンズラブソング
Rensou Kakudai Chokorei Horikku,恋想拡大チョコレイホリック
Yamete Yoshite Hairanaide,やめてよして入らないで
,ビターラブスイートラブ
Aiiro no Chou,藍色の蝶
Shita to Ura,舌と裏
Zetsu no Goku,絶の獄
,ゴシックロリィタドレスアップズ
,Bitter Sweet
,The Angel of Death
,浮士德
,LETTERS
Onibi,鬼火
,Hypothermia
,ViSiON
Hitosama Allergy,ヒトサマアレルギー
,wolF
Iroha-ni-Jinseicho,いろはに人生帳
Arigatou no Kiseki,アリガトウノキセキ
Yumemiru Makaron Gaaru,夢見るマカロンガール
Kubinashi Enbu Kyou,首無演舞狂
Mirukuraun Rensa,ミルクラウン恋鎖
Shikyou Amanojaku,死凶天邪鬼
Kagami no Mahou,鏡の魔法
Shiroi Renga to Kuroi Mofuku,白いレンガと黒い喪服
Machi Tsuzuketa Tegami,待ち続けた手紙
,ウェンディ
Oikakekko wa Yume no Naka,追いかけっこは夢の中
Unmei Gokko,運命ごっこ
Himitsu ~Shiro no Chikai~,秘蜜〜白の誓い〜
,당신과 나의 어사일럼
,城色
Himitsu ~Seisen no Chikai~,秘蜜〜聖戦の誓い〜
Mugen Duroppu,夢幻ドロップ
Amagoi Uta,雨乞い唄
,人造情感
,Fantastic Night
,Skyscrapers
Hiyashite Narasou Okashi no Ii Oto,冷やして鳴らそうお菓子のいい音
,샤이닝 스타
Guree Zoon ni te.,グレーゾーンにて。
,你咋不上天
Tako Ruka Poruka,たこルカポルカ
,세절기를 돌려라
,Good night
Iinari Reidee,唯々なりレイデエ
,中华铄金娘
Torikku oa Toriito,とりっくおあとりーと
Dappou Rokku,脱法ロック
,"It's Okay, It's Okay"
Chotto,ちょっと
"Youkame, Ame ga Yamu Mae ni.","""八日目、雨が止む前に。"""
Taiyou,太陽
,Crocodile Skin
,目的论
,frost
,이별
Za Pyua Songu,ザ・ピュアソング
,행복한 유성
,Atrévete
,Adiviname
,Substandard Symphony
,一样一样
,最美的夏天
Shukufuku no Messiah to Ai no Tou,祝福のメシアとアイの塔
,HIKIZURI
Pokettosaizu Doramachikari,ポケットサイズ・ドラマチカリ
,Song for I
,? ? ?
Boku to Kaeru no Rabu Romansu,僕とカエルのラブロマンス
,Bird Cage
,Barbed Eye
,夜舞
,COTTON CANDY
Kirai Kirai Jiga Hidai!,キライ・キライ・ジガヒダイ！
Taimu Toraberaa,タイムトラベラー
,EAT
,종이비행기
,Symphonic Dreamer
Seunou Syoteukeikeu,스노우 쇼트케이크
San Kyuu Myuujikku!,39みゅーじっく！
Saisho no Tegami,最初の手紙
,유니 콘서트
Jazu Dansu Suteppu,"""ジャズ・ダンス・ステップ"""
,单电子宇宙
,Cry
,"Title of the song (ex. Japanese, Romaji, or English)"
,ARROW
,为了你唱下去
,Angel Lazaretto
,When I Fell
Yuutousei Syndrome,優等生シンドローム
,Last Natsu
Tameiki no Yukue,溜息の行方
,VOICES
Hanarebanashi,ハナレバナシ
Sayonara Suubenia,さよならスーヴェニア
,六重不忠
,泠重乞愿
,The Abnormality
Aishite,アイシテ
Iiya,いいや
,FRAGILE
,白夜梦
Kimagure Merushii,気まぐれメルシィ
,Little Scarlet Bad Girl
Meitei Disutooshon,酩酊ディストーション
Watashi to Jurietto,私とジュリエット
Eiyuu no Yoroi wa Tsune ni Akaku,英雄の鎧は常に紅く
,云端
,Last Answer
Unmei no Megami,運命の女神
Danzai no Serenaata,断罪のセレナータ
Rettousei Shindoroomu,劣等生シンドローム
Zecchou Patishieeru,絶頂パティシエール
Akatsuki no Monoroogu,暁のモノローグ
Kannazuki no Tomurai ~Yado Shinobu no Shuukakusai~,神無月の弔い～宿怨の収穫祭～
,Prologue
,Tómur
,Epilogue
Onigashima no Shitou,鬼ヶ島ノ死闘
Mikansei Hiiroo Tan,未完成ヒーロー譚
Koi Yami Rou,恋闇楼
,Hyperthermia
,Memories
Hiamii,"|title = ""'''ヒアミー"
Shizumi Yuku Ai,沈みゆく哀
Ingaritsu no Hana,因果律の花
Shoujo Ningyou no Mita Yume,少女人形の見た夢
,你好哈雷
,Twinkle Star
Anakuronoizu,あなくろノイズ
,SAKURA SPARKLING
,A-MAZ3ing
,埃及方块
,할리퀸
,Endless Sight
,Re:fate
Ishidatami no Akaki Akuma,石畳の緋き悪魔
Snow Ash ~Shiro no Wakare~,Snow Ash~白の別れ~
,Liberate
,duplicator
,Now Hold Me
,Lunatic Lab
Boku ga Saigo ni Tsukuru Puranetariumu,僕が最期に創るプラネタリウム
,헤어짐 애프터스토리
,"Good Bye, Last Night"
,행운량 보존의 법칙
,我偏独坐第一香
,Are you ready?
,
Ano Hashi ni Chikatte,あの橋に誓って
Sakasa Bohyou no Neomaria,逆さ墓標のネオマリア
,
Dasshutsu Geemu,脱出ゲヱム
,illusion girl
,PUPPET
,' .. title
,破晓将至
,.away
,The Divinely Authorized Order of the Universe
,两人的画像
,啦啦啦
Esoragoto Supairaru,絵空事スパイラル
,可这就是现实
,化尘旅行
,살고있어
,no Change
,Snowmotion
,Our Broken Anthem
,figure.
,白·棠·彩
Himitsu no Papurika,秘密のパプリカ
,Miku
Feiku Karaazu,フェイクカラーズ
,地平线
,You can make it big if you want to
Doukoku Kyuuketsuki (Doukoku Banpaia),慟哭吸血鬼
,Necrophilia
,パズルガール
Dorufin Rei,ドルフィンレイ
,oFFENCe
Shinigami no Gitaa,死神のギター
,Because I'm a Monster
,ソープラグーン
Kyarameru Taruto,キャラメルタルト
Aishite Aishite Aishite,愛して愛して愛して
,ブラッディーメアリー
Gurukagon,グルカゴン
detsuaa-tsuaa,デツアーツアー
Furarete mo Furarete mo,振られても 振られても
,Re;2
,ReLief
,Blood Error
,世末歌者
,Melody
Dugeun Dugeun Mellodi,"두근두근 멜로디'''"" "
Sarangni Nassiyu,사랑니났시유
Kumano o Utau Imayou,熊野を歌う今様
,Anyone Everyone
,Star of the Show
,Iron Maiden
Nal Naebeoryeo Dwo,날 내버려 둬
Geumandwo Miseuri Keopiga Sigeogajana,그만둬 미스리 커피가 식어가잖아
,"Cosmos, Outrance, Disterrestrial"
,Dancing Alone
,Forest & Flower
,hot winter
,Lonely Dragon
,Love Sensation
Misoshiru Paradaisu,みそしるパラダイス
,Never Forget
,做一个默默无闻的普通人是一种怎样的体验
Himitsu no Kingyo,秘密ノ金魚
,Regression
,Sonavita Memories
,널 좋아하는 7가지 이유
,バンカーバスター
Sairen ni Madoromu,サイレンに微睡む
,本色
Enkantaada,エンカンターダ
,单身Disco
,あだると・ぱっち
,ゴッドオブマリー
,life is 39
Haroo Mai Waarudo,ハローマイワールド
Negai Saki Urami Chiru,願い咲き　恨み散る
,刻印
,モノクロームシャングリラ
,Turbulentis Flamma
,那些我无法原谅的事
,Sakura Desire
,沧月啸
,チャイニーズドグマ
,玉狐劫
,Green Balloon
,LEVEL-ZERO
,꼬르륵
Ageha Gurou,アゲハグロウ
,감정 오셀로
Ribaashiburu Kyanpeen,リバーシブル・キャンペーン
,Party! Party!
,<title> |translation = <translation>
,견출지 어태쳐
,草莓气泡
Mentarizumu Maria,メンタリズムマリア
,パンデミックラブディストーション
,날으는 고양이
,インパクトデスエンティティー
Hoshi no Kuni,星の国
,スイートフルデイズ
,リボルバードラゴン
Bannen,晩年
Uguisu Baita,ウグイス売女
,코스모스
Anzu,あんず
,갈망
,樱之狂想曲
,Song for S
,Psychokinesis
,Love is……?
,POLICE No.13
Yuudachi to Koi Hanabi,夕立と恋花火
Gureito Bizu Shoutaimu,グレイトビズショウタイム
,キャンディライフ☆
,저 하늘에
Ka no Ou wa Doro Yori Umareta,彼の王は泥より生まれた
,Rock'n'Roll Riot
,기망
,잔혹동화
,장미여왕
,날씨 좋다
,KILL MY VOICE
Pandora no Kagi,パンドラの鍵
Kamikire no Sekai,紙切れのセカイ
,그림자 인형극
,시계
,WINE BERRY
,KILL MY EYES
,Whisper My Nothings
,Kill My Emotion
,Answer now
,SOUNDS+
,A Glass of Life
,도시의 아이들
,보컬로이드 제국 찬양가
Omoide Kakera,想イ出カケラ
,오늘 하루
,Evergreen
,Airy voice
Eirian Eirian,エイリアンエイリアン
,행인2의 해방
,이제 안녕
,하루의 끝에 서서
,고독에서 고독으로
,남의 일
,VYlE
,너를 소리쳐
,너의 의지 나의 각오
,in chains
,自攻自受
"Hanauta Biyori ~Souji, Sentaku, Kaji, Watashi~",ハナウタ日和　～掃除、洗濯、家事、ワタシ～
Kimi ga Iru,キミがいる
Setsugetsuka,雪月花
,塞下曲
,널 만나러
Na☆na! Makune Nana,Na☆な！ マクネナナ
Tsubaki no Hana,동백꽃
,气流
,뫼아리시가
,同道殊途
,OVER RAIN
,Re:VERSE
Yuuki no Uta,ゆうきのうた
,밤 이불
,Hiatus
,마음 마음
,백절불굴
,Bequeath
,Day Dream Night
,封刀不为峥嵘
,寿星街小结巴
Butaiura no Hanayome,舞台裏の花嫁
Ren'ai Geemu,レンアイゲーム
,"벚꽃, 지다"
,音符成诗
,사신에게 바치는 소원
,Amygdala's Rag Doll
,Exorcism
,소다 러브
,evoLve
Shinshou Monokuroomu,心傷モノクローム
Kou Renka,紅恋歌
Hina Nige,雛逃げ
,승인
,ode to bub beep
,BitCrushe
,final letter
Fukashi Kyoukaisen no Hazama nite,不可視境界線の狭間にて
,STATIC SCREENS
,twitter
Hikari yo,光よ
,For my soul
,Nirvana
,Evocation
,∞　INFINITIA
,FRAME OUT
Furoirain=Biburochika,フロイライン＝ビブリォチカ
,flower of sorrow
,洛神赋
"Maegamisuto""",マエガミスト
Akai Me no Reko,赤い眼のレコ
,milk
Shian no Me,シアンの目
Hyakko Ryouran,百狐繚乱
,OVER DOSE
,Rehab
,_childhood
,M7
Famima Loud Park ten ni itte Kanban Kiiro ni Shitara Okorareta,ファミマ　ラウドパーク店に行って看板黄色にしたら怒られた
,GraveyarD
,"""ジャック・オ・ランタン"""
,Fighter
,"Rinse, Repeat"
,Mister Cumberdale
,ポップンガール@コミュニケーション
Shizakura,死桜
,How To Pretend
Kaguya,迦具夜
,Thousand smiles
,How Do You Know?
,His Requiem
Ougon Konoha ga Mau Koro ni,黄金木の葉が舞う頃に
,Paper Boy
,The March of the World Eaters
,MONSTROSITY
,旅绘
,Roar
