Kokoro,ココロ,こころ
"Kimi wa, Boka no,",キミハ、ボクノ、,きみはぼくの
Sandome no Fuyu,三度目の冬,さんどめのふゆ
Monokurōmumonorōgu,モノクロームモノローグ,ものくろーむものろーぐ
Ancheindo Memorii,アンチェインド・メモリー,あんちぇいんどめもりー
Penshiru Deizu,ペンシル・デイズ,ぺんしるでいず
Rasuto Rasuto,ラストラスト,らすとらすと
Kuriaransu Seeru ・ Faitaa,クリアランスセール・ファイター,くりあらんすせーるふぁいたー
Mujin Eki,無人駅,むじんえき
"\Nekomimi, Suki desu ka!/",\ネコミミ、好きですか!/,ねこみみすきですか
Otonagai Shimasu,大人買いします,おとながいします
Himitsu no Shukumei,秘密の宿命,ひみつのしゅくめい
Geragera to Warauna,ゲラゲラと笑うな,げらげらとわらうな
Setsuna Doraibu,セツナドライブ,せつなどらいぶ
Sutaasutoraku,スターストラク,すたーすとらく
Ibuki,息吹,いぶき
Tajiu Jinkaku,タヂウ人格,たぢうじんかく
Oha-Yo-del!!,おはヨーデル,おはよーでる
Sukotoomafobia,スコトーマフォビア,すことーまふぉびあ
Koisuru Apuri,恋するアプリ,こいするあぷり
Ookami no Shounen no Tou,狼の少年の塔,おおかみのしょうねんのとう
Oni Kanojo,鬼彼女,おにかのじょ
Yakiimo no Uta,やきいものうた,やきいものうた
Editto Moodo no Uta,えでぃっともーどのうた,えでぃっともーどのうた
Boukoku Kyouen Naitomea,亡国饗宴ナイトメア,ぼうこくきょうえんないとめあ
Ganbarou yo,頑張ろうよ,がんばろうよ
Aka Kese no Uta,垢消せのうた,あかけせのうた
Hisenkei no Tsubasa,非線形の翼,ひせんけいのつばさ
Zenmai Jikake no Komoriuta,ぜんまい仕掛けの子守唄,ぜんまいじかけのこもりうた
Hane no Nai Senaka ni,羽のない背中に,はねのないせなかに
Kureijii Gureneedo Kurasshaa Bonbaa,クレイジーグレネードクラッシャーボンバー,くれいじーぐれねーどくらっしゃーぼんばー
Kokoro Chaaji Myuujikku,ココロ・チャージ・ミュージック,こころちゃーじみゅーじっく
Amaki Shi no Hitsugi,甘き死の柩,あまきしのひつぎ
Erikubi,襟首,えりくび
Itsumo Yori Nakimushi na Sora,いつもより泣き虫な空,いつもよりなきむしなそら
Usagi hoomushikku,うさぎホームシック,うさぎほーむしっく
Yuurei Ningyou,幽霊人形,ゆうれいにんぎょう
Sorairo!,ソライロ!,そらいろ
"Atashi tte, Honto Baka",あたしって、ほんとバカ,あたしってほんとばか
Kugui,鵠(くぐい),くぐいくぐい
Akai Numa no Soko,赤い沼の底,あかいぬまのそこ
Antai,安泰,あんたい
Yamato Nadeshiko,大和撫子,やまとなでしこ
Omocha bako,オモチャ箱,おもちゃばこ
Ourin no Honoo,黄燐の炎,おうりんのほのお
Juppun no Koi,10分の恋,じゅっぷんのこい
Gekkou to Kuro,月光と黒,げっこうとくろ
Hiraita Tegami ni,ひらいたてがみに,ひらいたてがみに
Denshi,電子,でんし
Mata Aeru Yo,またあえるよ,またあえるよ
Gurea,グレア,ぐれあ
Aoi Koori no Shiro,青い氷の城,あおいこおりのしろ
Surii Piisu Horowu,スリー・ピース・ホロウ,すりーぴーすほろう
"Hagane no Joou, Ori no Hime",鋼ノ女王、檻ノ姫,はがねのじょおうおりのひめ
Umi ni Natta Shounen,海になった少年,うみになったしょうねん
Zureteiku,ずれていく,ずれていく
Hoshizora Dansu,星空ダンス,ほしぞらだんす
Yabee Bare Chatta,ヤベーばれちゃった,やべーばれちゃった
Kaitei Shinsou Rapuchaa,海底深層ラプチャァ,かいていしんそうらぷちゃぁ
Doriimu Merutikku Harowin,ドリィムメルティックハロウィン,どりぃむめるてぃっくはろうぃん
Kuuchuu Teien,空中庭園,くうちゅうていえん
Idarugo,イダルゴ,いだるご
Suki suki Darling,すきすきだぁりん,すきすきだぁりん
Yume Nikki no Tame no Waltz,ゆめにっき の ため の ワルツ,ゆめにっきのためのわるつ
"Yoru no Naka, Shunsetsu",夜の中、春雪,よるのなかしゅんせつ
Sazanami,漣,さざなみ
Omoi Kibako,重い木箱,おもいきばこ
"Haikei, Ido no Sokokara",拝啓、井戸の底から,はいけいいどのそこから
Shitai yo (male),したいよ,したいよ
Kokyou no Sora ni,故郷の空に,こきょうのそらに
Yotei Chouwa ni Shizumu,予定調和に沈む,よていちょうわにしずむ
"Kyou, Sotsugyou Shimasu.",今日、卒業します。,きょうそつぎょうします
Jiraigen Yomichi,地雷原夜道,じらいげんよみち
Oto no Shizuku,音のしずく,おとのしずく
Mirakuru Tayun,ミラクルたゆん,みらくるたゆん
Arisu,アリス,ありす
Sekai no Hajimari,世界のはじまり,せかいのはじまり
Takanari,タカナリ,たかなり
Zonbi Meikaa,ゾンビメイカー,ぞんびめいかー
Kiiwi,キーウィ,きーうぃ
Rojikku Eejento,ロジックエージェント,ろじっくえーじぇんと
"Zutto, Zutto...",ずっと、ずっと・・・,ずっとずっと
Purisetto,プリセット,ぷりせっと
Pirori Kin no Uta,ピロリ菌のうた,ぴろりきんのうた
Yuki ga Tokeru Mae ni,雪がとける前に,ゆきがとけるまえに
Warabe Uta 3.0,わらべうた3.0,わらべうた
Kimi no Uwasa,君の噂,きみのうわさ
Goosuto Ruuru,ゴーストルール,ごーすとるーる
Kimi Koishi,君恋し,きみこいし
Meruri ni Suwaretai no?,メルリに吸われたいの?,めるりにすわれたいの
Kakure Oni,かくれおに,かくれおに
Dokubou Sutera Shiata,独房ステラシアタ,どくぼうすてらしあた
Supuraito Akeru Yoru ni,スプライト開ける夜に,すぷらいとあけるよるに
"Kimi no Hana to Ame, Boku no Koe",君の花と雨、僕の声,きみのはなとあめぼくのこえ
Machi no Miraizu,街の未来図,まちのみらいず
Okoto Kyoushitsu,おこと教室,おこときょうしつ
Ai Uon Chuu,あいうぉんちゅー,あいうぉんちゅー
Higashi no Majo,東の魔女,ひがしのまじょ
Abazure ni Buruusu o,あばずれにブルースを,あばずれにぶるーすを
Warutsu no Ma ni Fukarete,ワルツの魔に吹かれて,わるつのまにふかれて
Garakuta no Boku Ni,がらくたの僕に,がらくたのぼくに
Tenohira,テノヒラ,てのひら
Shiro no Kisetsu,白の季節,しろのきせつ
Haroo Nyuu Waarudo,ハロー・ニューワールド,はろーにゅーわーるど
Karafuru na Ame to Monokuro no Kioku,カラフルな雨とモノクロの記憶,からふるなあめとものくろのきおく
Kuina,水鶏,くいな
Hatsutaiken,初体験 ,はつたいけん
Watashi no Aaru,わたしのアール,わたしのあーる
Merri Baddo,メリーバッド,めりーばっど
Ranshou Seimei,濫觴生命,らんしょうせいめい
Noraneko,ノラネコ,のらねこ
Dasuto,ダスト,だすと
Teitei Shinjae,ていていしんじゃえ,ていていしんじゃえ
Yumekui,ユメクイ,ゆめくい
Nemuraneeze,ネムラネーゼ,ねむらねーぜ
Utsukushii Hana,鬱くしい花,うつくしいはな
Shinpurizumu,シンプリズム,しんぷりずむ
"Shinitai Juudai, Koroshitai Nijuudai",死にたい十代、殺したい二十代,しにたいじゅうだいころしたいにじゅうだい
Sutoratokyasutaa,ストラトキャスター,すとらときゃすたー
Chi no Hana,血の華,ちのはな
Seishuu Rainaa,セイシュンライナー,せいしゅんらいなー
"Toki no Ame, Saishuu Sensou",時ノ雨、最終戦争,ときのあめさいしゅうせんそう
Kotonoha Kurinikku,言の葉クリニック,ことのはくりにっく
Shoujo Keshigomu,少女ケシゴム,しょうじょけしごむ
Atooi Jisatsu ni Teihyou no Arumicchan,後追い自殺に定評のあるみっちゃん,あとおいじさつにていひょうのあるみっちゃん
Manhooru Daibaa,マンホールダイバー,まんほーるだいばー
Koufuku na Shounen,幸福な少年,こうふくなしょうねん
Korusetto Waiyaa Dureeshon,コルセット・ワイヤー・デュレーション,こるせっとわいやーでゅれーしょん
Hatsune Miku no Yasashii Nemuri,初音ミクの優しい眠り,はつねみくのやさしいねむり
Hayari Kotoba,はやりことば,はやりことば
Bachisukeefu Karoru,バチスカーフ・カロル,ばちすかーふかろる
Hana Miru Hito,花見る人,はなみるひと
Kiyoku Tadashiku,清く正しく,きよくただしく
Kanzen na Kousou,完全な構想,かんぜんなこうそう
Mai Hatto Fantajii,マイハットファンタジー,まいはっとふぁんたじー
Haroo Waarudo,ハローワールド,はろーわーるど
Sekijitsu Anaguramu,昔日アナグラム,せきじつあなぐらむ
Soutai no Mon,相対の門,そうたいのもん
Ekohiiki,エコヒイキ,えこひいき
Shiawase no Kotoba,幸せの言葉,しあわせのことば
Mugen Yakou,無限夜行,むげんやこう
Kimi Nashi Bijon,キミナシビジョン,きみなしびじょん
Susanoo,スサノヲ,すさのを
Shuuen no Utahime,終焉の歌姫,しゅうえんのうたひめ
Kimera,キメラ,きめら
Tori Setsu,トリセツ,とりせつ
Hayashi Uta,囃子唄,はやしうた
Haru Koi Uta,ハルコイウタ,はるこいうた
Ue kara Mesen,上から目線,うえからめせん
"Boku Mitai na Kimi, Kimi Mitai na Boku",僕みたいな君 君みたいな僕,ぼくみたいなきみきみみたいなぼく
Petenshi ga Warau Koro ni,ペテン師が笑う頃に,ぺてんしがわらうころに
Kokuhaku,告白,こくはく
Karafuru × Sekushii,カラフル×セクシィ,からふるせくしぃ
Konekutikku Gaaru,コネクティックガール,こねくてぃっくがーる
Izayoi Gekka,十六夜月花,いざよいげっか
Tenshi Tsuihou,天使追放,てんしついほう
Guuzou Musen,偶像無線,ぐうぞうむせん
Ikirouta,イキロウタ,いきろうた
Enban,えんばん,えんばん
Tomoshibi,灯火,ともしび
Nekototori,ネコトトリ,ねこととり
Onaji Youni,同じように,おなじように
Maria,マリア,まりあ
Miku Miku☆Samaa Naito Fantajii,ミクミク☆サマーナイトファンタジー,みくみくさまーないとふぁんたじー
Myuujikku Raundo,ミュージックラウンド,みゅーじっくらうんど
Tsumi no Tsuki,罪ノ月,つみのつき
Dai Sanji Purin Sensou,第三次プリン戦争,だいさんじぷりんせんそう
Naichingerru no Uta,ナイチンゲールノウタ,ないちんげーるのうた
Syugaa Sain,シュガーサイン,しゅがーさいん
Katatsumuri,かたつむり,かたつむり
Pokkan Karaa,ぽっかんカラー,ぽっかんからー
Mata Ashita,また明日,またあした
☆Majikaru☆,☆マジカル☆,まじかる
Sorairo Deizu,空色デイズ,そらいろでいず
Yumemi Gokochi,夢見心地,ゆめみごこち
Kafe Ratte,カフェラッテ,かふぇらって
Kuroneko,黒猫,くろねこ
Tsumi no Namae,罪の名前,つみのなまえ
Riaru Hatsune Miku no Shoushitsu,リアル初音ミクの消失,りあるはつねみくのしょうしつ
Nayameru Shounen Nuge Shoujo,悩める少年脱げ少女,なやめるしょうねんぬげしょうじょ
Ookami Nanka Kowakunai!,おおかみなんかこわくないッ!,おおかみなんかこわくないっ
Tantei Yowane Haku no Yuuutsu,探偵弱音ハクの憂鬱,たんていよわねはくのゆううつ
Himawari to Uta no Hanataba,ひまわりと歌の花束,ひまわりとうたのはなたば
Greedy Halloween Candy Nights,グリィディハロウィンキャンディナイツ,ぐりぃでぃはろうぃんきゃんでぃないつ
Kujira no Machi,"""くじらの街",くじらのまち
364 Piisu no Jaanii,364ピースのジャーニー,ぴーすのじゃーにー
Yume no Shima,夢ノ島,ゆめのしま
Ameijingu Majishan,アメイジング・マジシャン,あめいじんぐまじしゃん
VOCALOID-tachi ga Tada tettey-terettey Suru Dake,ボーカロイドたちがただテッテーテレッテーするだけ,ぼーかろいどたちがただてってーてれってーするだけ
Genjitsu Nonfikkushon,現実ノンフィクション,げんじつのんふぃくしょん
Dekinai Sagi,デキナイ詐欺,できないさぎ
Katana Uta,刀歌,かたなか
Hanamusubi,花結び,はなむすび
Kuusou Shoujo,空想少女,くうそうしょうじょ
Hikarizakura,ヒカリザクラ,ひかりざくら
Attakaito,あったかいと,あったかいと
Nabaasu,ナーバス,なーばす
Happii Torappu,ハッピートラップ,はっぴーとらっぷ
Kimi no Kotoba,キミノコトバ,きみのことば
Matataki,またたき,またたき
Dokoka de Kiita Uta,どこかで聞いた唄,どこかできいたうた
Ito Denwa,糸電話,いとでんわ
Ai no Chaban Gekijou,あいの茶番劇場,あいのちゃばんげきじょう
Toshin,妬心,としん
"Nozarashi no Kubi, Onigashima Nite",野ざらしの首、鬼ヶ島にて,のざらしのくびおにがしまにて
Karafuu Poppu Biito,カラフルポップビート,からふるぽっぷびーと
Buchi Nuke! 2008!,ぶちぬけ!2008!,ぶちぬけ
Kikai Jikake no Utahime,機械仕掛けの歌姫,きかいじかけのうたひめ
Furu Pawaa! Majikaru Boisu!,フルパワー!まじかるぼいすっ!,ふるぱわーまじかるぼいすっ
Mentaru Risetto no Uta,メンタルリセットの歌,めんたるりせっとのうた
Chiruno no Suugaku Kyoushitsu,チルノのすうがく教室,ちるののすうがくきょうしつ
Sou Ai Sei Ri Ron,相愛性理論,そうあいせいりろん
Tsubaki no Hana,椿の花,つばきのはな
Asuterizumu,アステリズム,あすてりずむ
Donguri Korokoro,どんぐりころころ,どんぐりころころ
Hamabe no Uta,浜辺の歌,はまべのうた
Mosura no Uta,モスラの歌,もすらのうた
Kiseki no Yukue,奇跡の行方,きせきのゆくえ
Seichi Erusaremu,聖地エルサレム,せいちえるされむ
Bokaran Sagi,ボカラン詐欺,ぼからんさぎ
Rurira Rurira to Hibiku Uta,るりらるりらと響く唄,るりらるりらとひびくうた
Kimi Ijou Boku Miman,キミ以上、ボク未満。,きみいじょうぼくみまん
Mitsuba,みつば,みつば
Kimochiwarui,きもちわるい,きもちわるい
"Mata ne, Tameiki.",またね、ため息。,またねためいき
Ryuu no Tani to Taiyou no Toride,龍の谷と太陽の砦,りゅうのたにとたいようのとりで
Kirameki Sunou Sutaa Main,キラメキスノウスターマイン,きらめきすのうすたーまいん
Chururira・Chururira・Daddadda!,チュルリラ・チュルリラ・ダッダッダ!,ちゅるりらちゅるりらだっだっだ
Hoshi no Uta,ホシノウタ,ほしのうた
Kowarete iku,壊れて行く,こわれていく
Kibou no Uta,希望の歌,きぼうのうた
Kimi ga Suki,きみがすき,きみがすき
Eirian Gaarufurendo,エイリアンガールフレンド,えいりあんがーるふれんど
Tsuki to Fuusen,月と風船,つきとふうせん
Sukina Koto Dake de ii Desu,すきなことだけでいいです,すきなことだけでいいです
Seireen,せいれーん,せいれーん
China Cyber@Wo Ai Ni,チャイナサイバー@ウォーアイニー,ちゃいなさいばーうぉーあいにー
Kurisumasu Ibu no Yoru ni -Hitorimi Saido-,クリスマスイヴの夜に-独り身サイド-,くりすますいゔのよるにひとりみさいど
Yamete Yoshite Hairanaide,やめてよして入らないで,やめてよしてはいらないで
Aiiro no Chou,藍色の蝶,あいいろのちょう
Shita to Ura,舌と裏,したとうら
Onibi,鬼火,おにび
Hitosama Allergy,ヒトサマアレルギー,ひとさまあれるぎー
Arigatou no Kiseki,アリガトウノキセキ,ありがとうのきせき
Kubinashi Enbu Kyou,首無演舞狂,くびなしえんぶきょう
Shikyou Amanojaku,死凶天邪鬼,しきょうあまのじゃく
Kagami no Mahou,鏡の魔法,かがみのまほう
Shiroi Renga to Kuroi Mofuku,白いレンガと黒い喪服,しろいれんがとくろいもふく
Unmei Gokko,運命ごっこ,うんめいごっこ
Mugen Duroppu,夢幻ドロップ,むげんどろっぷ
Amagoi Uta,雨乞い唄,あまごいうた
Hiyashite Narasou Okashi no Ii Oto,冷やして鳴らそうお菓子のいい音,ひやしてならそうおかしのいいおと
Guree Zoon ni te.,グレーゾーンにて。,ぐれーぞーんにて
Tako Ruka Poruka,たこルカポルカ,たこるかぽるか
Iinari Reidee,唯々なりレイデエ,いいなりれいでえ
Torikku oa Toriito,とりっくおあとりーと,とりっくおあとりーと
Chotto,ちょっと,ちょっと
"Youkame, Ame ga Yamu Mae ni.","""八日目、雨が止む前に。""",ようかめあめがやむまえに
Taiyou,太陽,たいよう
Za Pyua Songu,ザ・ピュアソング,ざぴゅあそんぐ
Pokettosaizu Doramachikari,ポケットサイズ・ドラマチカリ,ぽけっとさいずどらまちかり
Boku to Kaeru no Rabu Romansu,僕とカエルのラブロマンス,ぼくとかえるのらぶろまんす
Kirai Kirai Jiga Hidai!,キライ・キライ・ジガヒダイ!,きらいきらいじがひだい
Taimu Toraberaa,タイムトラベラー,たいむとらべらー
San Kyuu Myuujikku!,39みゅーじっく!,みゅーじっく
Saisho no Tegami,最初の手紙,さいしょのてがみ
Jazu Dansu Suteppu,"""ジャズ・ダンス・ステップ""",じゃずだんすすてっぷ
Tameiki no Yukue,溜息の行方,ためいきのゆくえ
Hanarebanashi,ハナレバナシ,はなればなし
Sayonara Suubenia,さよならスーヴェニア,さよならすーゔぇにあ
Aishite,アイシテ,あいして
Iiya,いいや,いいや
Kimagure Merushii,気まぐれメルシィ,きまぐれめるしぃ
Watashi to Jurietto,私とジュリエット,わたしとじゅりえっと
Unmei no Megami,運命の女神,うんめいのめがみ
Onigashima no Shitou,鬼ヶ島ノ死闘,おにがしまのしとう
Koi Yami Rou,恋闇楼,こいやみろう
Shizumi Yuku Ai,沈みゆく哀,しずみゆくあい
Ingaritsu no Hana,因果律の花,いんがりつのはな
Shoujo Ningyou no Mita Yume,少女人形の見た夢,しょうじょにんぎょうのみたゆめ
Anakuronoizu,あなくろノイズ,あなくろのいず
Boku ga Saigo ni Tsukuru Puranetariumu,僕が最期に創るプラネタリウム,ぼくがさいごにつくるぷらねたりうむ
Ano Hashi ni Chikatte,あの橋に誓って,あのはしにちかって
Sakasa Bohyou no Neomaria,逆さ墓標のネオマリア,さかさぼひょうのねおまりあ
Dasshutsu Geemu,脱出ゲヱム,だっしゅつげゑむ
Esoragoto Supairaru,絵空事スパイラル,えそらごとすぱいらる
Himitsu no Papurika,秘密のパプリカ,ひみつのぱぷりか
Feiku Karaazu,フェイクカラーズ,ふぇいくからーず
Doukoku Kyuuketsuki (Doukoku Banpaia),慟哭吸血鬼,どうこくきゅうけつき
Dorufin Rei,ドルフィンレイ,どるふぃんれい
Kyarameru Taruto,キャラメルタルト,きゃらめるたると
Aishite Aishite Aishite,愛して愛して愛して,あいしてあいしてあいして
Gurukagon,グルカゴン,ぐるかごん
detsuaa-tsuaa,デツアーツアー,でつあーつあー
Furarete mo Furarete mo,振られても 振られても,ふられてもふられても
Misoshiru Paradaisu,みそしるパラダイス,みそしるぱらだいす
Himitsu no Kingyo,秘密ノ金魚,ひみつのきんぎょ
Sairen ni Madoromu,サイレンに微睡む,さいれんにまどろむ
Enkantaada,エンカンターダ,えんかんたーだ
Haroo Mai Waarudo,ハローマイワールド,はろーまいわーるど
Negai Saki Urami Chiru,願い咲き 恨み散る,ねがいさきうらみちる
Ageha Gurou,アゲハグロウ,あげはぐろう
Ribaashiburu Kyanpeen,リバーシブル・キャンペーン,りばーしぶるきゃんぺーん
Mentarizumu Maria,メンタリズムマリア,めんたりずむまりあ
Hoshi no Kuni,星の国,ほしのくに
Uguisu Baita,ウグイス売女,うぐいすばいた
Anzu,あんず,あんず
Yuudachi to Koi Hanabi,夕立と恋花火,ゆうだちとこいはなび
Gureito Bizu Shoutaimu,グレイトビズショウタイム,ぐれいとびずしょうたいむ
Pandora no Kagi,パンドラの鍵,ぱんどらのかぎ
Kamikire no Sekai,紙切れのセカイ,かみきれのせかい
Omoide Kakera,想イ出カケラ,おもいでかけら
Eirian Eirian,エイリアンエイリアン,えいりあんえいりあん
Kimi ga Iru,キミがいる,きみがいる
Yuuki no Uta,ゆうきのうた,ゆうきのうた
Butaiura no Hanayome,舞台裏の花嫁,ぶたいうらのはなよめ
Ren'ai Geemu,レンアイゲーム,れんあいげーむ
Hina Nige,雛逃げ,ひなにげ
Fukashi Kyoukaisen no Hazama nite,不可視境界線の狭間にて,ふかしきょうかいせんのはざまにて
Hikari yo,光よ,ひかりよ
Furoirain=Biburochika,フロイライン=ビブリォチカ,ふろいらいんびぶりぉちか
"Maegamisuto""",マエガミスト,まえがみすと
Akai Me no Reko,赤い眼のレコ,あかいめのれこ
Shian no Me,シアンの目,しあんのめ
Kaguya,迦具夜,かぐや
Ougon Konoha ga Mau Koro ni,黄金木の葉が舞う頃に,おうごんこのはがまうころに
Kami no Kotoba,カミノコトバ,かみのことば
Taitoru, ,
Uta,歌,うた
Aisai,アイサイ,あいさい
Chikin Haateddo,チキンハーテッド,ちきんはーてっど
Guren,紅蓮,ぐれん
Rihito,リヒト,りひと
Kakusei,覚醒,かくせい
Fumou!,不毛!,ふもう
Kamisama no Itazura,神様のいたずら,かみさまのいたずら
Koigokoro,コイゴコロ,こいごころ
Andante,アンダンテ,あんだんて
Orufeusu,オルフェウス,おるふぇうす
Nanatsu no Aizai,七つの愛罪,ななつのあいざい
Tenjou Tenge,天上天下,てんじょうてんげ
Yaten no Hi,夜天の陽,やてんのひ
Toki no Mawashibito,ときのまわしびと,ときのまわしびと
"Mou Ichido, Sakura Fubuki",もう一度、桜吹雪,もういちどさくらふぶき
Mizu no Mamoribito,みずのまもりびと,みずのまもりびと
Cheche Chekku Wan Tsuu!,チェチェ・チェック・ワンツー!,ちぇちぇちぇっくわんつー
Mousou Kanshou Daishou Renmei,妄想感傷代償連盟,もうそうかんしょうだいしょうれんめい
Tsurara no Nageki Uta,氷柱の嘆き唄,つららのなげきうた
Kumori nochi Yuki.,曇りのち雪。,くもりのちゆき
Sekibetsu no Himawari,惜別の向日葵,せきべつのひまわり
Amayo no Tsuki,雨夜の月,あまよのつき
Ame no Merodi,雨のメロディ,あめのめろでぃ
Yume no Uta,ゆめ の うた,ゆめのうた
Yume no Ohanashi,ゆめ の おはなし,ゆめのおはなし
Shounin to Tooi Machi,商人と遠い町,しょうにんととおいまち
Aijou Hanbaiki,愛情販売機,あいじょうはんばいき
Aoi Tori,蒼イ鳥,あおいいとり
Ijiwaru na Deai,イジワルな出会い,いじわるなであい
Neji,螺子,ねじ
Misuto ando Aamondo,ミストアンドアーモンド,みすとあんどあーもんど
Dantoudai no Aika,断頭台の哀歌,だんとうだいのあいか
Kurosu Shizaazu,クロスシザーズ,くろすしざーず
Mata Ashita Haru Mata Itsuka,また明日春またいつか,またあしたはるまたいつか
Mayuzumi no You na Sora kara,まゆずみのような空から,まゆずみのようなそらから
Hana ni Kawaru,花に変わる,はなにかわる
Koe,声,こえ
Nanairo Sekai,七色世界,なないろせかい
Noroi no Kugi,呪ノ釘,のろいのくぎ
Aira,アイラ,あいら
Niko Neko Nyanko Choko Sutoroberii,ニコネコニャンコチョコストロベリー,にこねこにゃんこちょこすとろべりー
Aimu Hai,アイムハイ,あいむはい
Nusubito Shinderera,盗人シンデレラ,ぬすびとしんでれら
haiyuki,灰雪,はいゆき
Mi ni Amaru Keibetsu,身に余る軽蔑,みにあまるけいべつ
Chiisana Tenshi,小さな天使,ちいさなてんし
"Sayounara, Hanadorobou-san",さようなら、花泥棒さん,さようならはなどろぼうさん
Howaito Happii,ホワイトハッピー,ほわいとはっぴー
Appuru Dotto Komu,アップルドットコム,あっぷるどっとこむ
Kago no Tori,籠ノ鳥,かごのとり
Suna no Wakusei,砂の惑星,すなのわくせい
Boku no Koe,ボクノコエ,ぼくのこえ
Kyuuketsuki to Piano,吸血鬼とピアノ,きゅうけつきとぴあの
Koisuru Wendigo,恋するウェンディゴ,こいするうぇんでぃご
Sora ni Todoku Suna no Yama,空に届く砂の山,そらにとどくすなのやま
Hibana,ヒバナ,ひばな
Boku no Kotoba,ボクノコトバ,ぼくのことば
Kosho Yashiki Satsujin Jiken,古書屋敷殺人事件,こしょやしきさつじんじけん
Ikoku Ningyoukan Satsujin Jiken,異国人形館殺人事件,いこくにんぎょうかんさつじんじけん
Uminaoshi,うみなおし,うみなおし
Kimi ga Ikitenaku te Yokatta,君が生きてなくてよかった,きみがいきてなくてよかった
Demodemo Naito,デモデモナイト,でもでもないと
Mayoigo Romanchisuto,迷い子ロマンチスト,まよいごろまんちすと
Rondon Suraggu Paati Hai,ロンドンスラッグパーティハイ,ろんどんすらっぐぱーてぃはい
Madara Karuta,マダラカルト,まだらかると
Ooedo Juria Naito,大江戸ジュリアナイト,おおえどじゅりあないと
Manikku,マニック,まにっく
Infuruensaa Izu Deddo,インフルエンサー・イズ・デッド,いんふるえんさーいずでっど
Shippaisaku Shoujo,失敗作少女,しっぱいさくしょうじょ
Inochi ni Kirawarete iru.,命に嫌われている。,いのちにきらわれている
Watashi ni Dekiru Hitotsu no Koto,私にできるひとつのこと,わたしにできるひとつのこと
Shinkai,深海,しんかい
Rabizu Porarisu,ラヴィズポラリス,らゔぃずぽらりす
Shiikuretto Koodo,シークレット・コード,しーくれっとこーど
Nia,ニア,にあ
Kanashimi ga,悲しみが,かなしみが
Puranetariumu,"プラネタリウム""",ぷらねたりうむ
Kimi no Uta,きみのうた,きみのうた
Goosuto Shippu,ゴーストシップ,ごーすとしっぷ
Yumemi Gachi na Monogatari,夢見がちな物語,ゆめみがちなものがたり
Amai Keibetsu,甘い軽蔑,あまいけいべつ
Seidenki Ningen,セイデンキニンゲン,せいでんきにんげん
Daarin,ダーリン,だーりん
Kieta Natsu no Yume,消えた夏の夢,きえたなつのゆめ
Saisei,再生,さいせい
Hitogoroshi no Bakemono,ひとごろしのバケモノ,ひとごろしのばけもの
Kokoro Hana,ココロハナ,こころはな
Shinenai Hoshi,死ねない星,しねないほし
Nakanaide,泣かないで,なかないで
Reberu Risetto,レベルリセット,れべるりせっと
Beri Happi,べりはっぴ,べりはっぴ
Puropoozu,プロポーズ,ぷろぽーず
Yume Ippai,ユメいっぱい,ゆめいっぱい
Saidaa,サイダー,さいだー
Minto Guriin Suusaido,ミントグリーン・スーサイド,みんとぐりーんすーさいど
Romeo,ロメオ,ろめお
Boku ga Namae wo Yobu Hi,僕が名前を呼ぶ日,ぼくがなまえをよぶひ
Sakura Saku,サクラサク,さくらさく
Himawari,ひまわり,ひまわり
"Kimi, Furu, Yamu",君、降る、止む,きみふるやむ
Kimi to Makaron,君とマカロン,きみとまかろん
Fuurinkazan,風林火山,ふうりんかざん
"Mou,,,, Sekai Saigo no Keshiki de","もう,,,,世界最後の景色で",もうせかいさいごのけしきで
I~ya I~ya I~ya,いーやいーやいーや,いーやいーやいーや
Intaanetsu Disuko,インターネッツ・ディスコ,いんたーねっつでぃすこ
Chokoreeto Ribaibaru,チョコレート・リバイバル,ちょこれーとりばいばる
Karafuru Kakuteru,カラフルカクテル,からふるかくてる
Hanamai Tsukuyomi Tan,花舞月詠譚,はなまいつくよたん
Watashi ga Koi wo Shiru Hi,私が恋を知る日,わたしがこいをしるひ
Kokoro no Katachi,ココロノカタチ,こころのかたち
Enpuresu=Disuko,エンプレス=ディスコ,えんぷれすでぃすこ
Sakkyokusuru Nara Ima no Uchi!,作曲するならいまのうち!,さっきょくするならいまのうち
Mirakuru Shoutaimu,ミラクルショウタイム,みらくるしょうたいむ
Kokuhaku,告白,こくはく
Pojitibu☆Dansu Taimu,ポジティブ☆ダンスタイム,ぽじてぃぶだんすたいむ
Hayaku Sore ni Naritai!,はやくそれになりたい!,はやくそれになりたい
Baka wo Yaru Nara,バカをやるなら,ばかをやるなら
Periko Supeesu Shippaa,ペリコ・スペースシッパー,ぺりこすぺーすしっぱー
Yoake no Ubugoe,よあけのうぶごえ,よあけのうぶごえ
Sakihokore Tokoyo no Hana,咲キ誇レ常世ノ華,さきほこれとこよのはな
Batafurai Gurafiti,バタフライ・グラフィティ,ばたふらいぐらふぃてぃ
Kutabarou ze,くたばろうぜ,くたばろうぜ
Shikku shikku shikku,シックシックシック,しっくしっくしっく
Toutetsu,トウテツ,とうてつ
Aaaaaaaaaaaa,ああああああああああああ,ああああああああああああ
Kurabu=majesuti,クラブ=マジェスティ,くらぶまじぇすてぃ
Wandahoo Nippon!,ワンダホー・ニッポン!,わんだほーにっぽん
Doubutsu no Subete,動物のすべて,どうぶつのすべて
