○○は受信機なんです,○○はじゅしんきなんです
オトナカロジック,おとなかろじっく
オトナシ,おとなし
大人になった子どもの詩,おとなになったこどものうた
大人になったら,おとなになったら
大人になることが怖いから,おとなになることがこわいから
大人の国,おとなのくに
オトナの地図,おとなのちず
オトナマエ,おとなまえ
音ノウズ,おとのうず
おとのかけら,おとのかけら
音の無い雨,おとのないあめ
音のない部屋の中で,おとのないへやのなかで
音ノ葉集メ,おとのはあつめ
音の降る丘,おとのふるおか
音の物理学,おとのぶつりがく
音の街,おとのまち
音の果実─オトノミ─,おとのみ
音の迷路,おとのめいろ
音街ウナの八重歯を磨きたい,おとまちうなのやえばをみがきたい
乙女チックは認めなきゃ！,おとめちっくはみとめなきゃ
乙女てぃっく☆ルネッサンス,おとめてぃっくるねっさんす
オトメのセイギ・大江戸魔法少女ねこま姫,おとめのせいぎ・おおえどまほうしょうじょねこまひめ
オトメラブコメレンアイジジョウ/CD,おとめらぶこめれんあいじじょう
囮,おとり
囮/CD,おとり
衰え,おとろえ
躍るエレクハート,おどるえれくはーと
踊ル怪談ズ,おどるかいだんず
踊る恐竜さん,おどるきょうりゅうさん
踊るドール,おどるどーる
踊る人形,おどるにんぎょう
踊る浮遊隊,おどるふゆうたい
踊れ,おどれ
踊れない妖精,おどれないようせい
お腹いっぱいの幸せを,おなかいっぱいのしあわせを
おなかすいたうた,おなかすいたうた
同じ気持ちで,おなじきもちで
同じ星空,おなじほしぞら
オナニー,おなにー
御名前,おなまえ
鬼,おに
オニアイサン,おにあいさん
鬼遊,おにあそび
お兄ちゃんがショタコンでも愛してる！,おにいちゃんがしょたこんでもあいしてる
お兄ちゃんが心配性,おにいちゃんがしんぱいしょう
お兄ちゃんは俺の嫁,おにいちゃんはおれのよめ
鬼彼女,おにかのじょ
鬼ヶ島,おにがしま
おにぎりのテーマ,おにぎりのてーま
鬼子のラブソング,おにこのらぶそんぐ
鬼ごっこ,おにごっこ
鬼ノ棲ム森,おにのすむもり
オニノユメ,おにのゆめ
鬼の嫁,おにのよめ
鬼は敲く月下の門,おにはたたくげっかのもん
鬼火,おにび
おニューのかさぶた、ペットに食われろ,おにゅーのかさぶたぺっとにくわれろ
鬼遊戯/黄昏P,おにゆうぎ
鬼を狩る者,おにをかるもの
おねがい☆フューチャー,おねがい☆ふゅーちゃー
おねがい☆あーやさん,おねがいあーやさん
オノマトペメガネ,おのまとぺめがね
オノマトペ・ラブ,おのまとぺ・らぶ
お話をひとつ,おはなしをひとつ
おはよう、朝だよ!,おはよう、あさだよ
おはようおやすみ,おはようおやすみ
おばけのウケねらい,おばけのうけねらい
おばけのテレフォン,おばけのてれふぉん
おバストとらないで,おばすととらないで
オバナイ,おばない
おひめさまだっこしてネ,おひめさまだっこしてね
お姫様盟約,おひめさまめいやく
オフェリア,おふぇりあ
オフトゥン,おふとぅん
オフトゥンフライングシステム,おふとぅんふらいんぐしすてむ
おふとんたんの唄,おふとんたんのうた
オフホワイト,おふほわいと
お風呂が沸いたときの曲,おふろがわいたときのきょく
オブスティナシオン,おぶすてぃなしおん
オプスキュリテ,おぷすきゅりて
オプティミスト,おぷてぃみすと
オペ,おぺ
オホーツク旅情歌,おほーつくりょじょうか
憶え,おぼえ
覚えていてほしい,おぼえていてほしい
溺れ 弱くん,おぼれよわしくん
溺れるマーメイド,おぼれるまーめいど
朧に,おぼろに
おまいのハートを舗装してあげるッ！,おまいのはーとをほそうしてあげるっ
お前、豆腐を嘗めんなよ,おまえとうふをなめんなよ
お前の歌など聞きたくない,おまえのうたなどききたくない
おまえのおうち、バーニング。,おまえのおうち、ばーにんぐ
お前の才能が欲しい,おまえのさいのうがほしい
お前らなんかみんな大嫌いだ,おまえらなんかみんなだいきらいだ
お前らに歌い手の辛さの何が理解るわけ？,おまえらにうたいてのつらさのなにがわかるわけ？
おまじない胸算用,おまじないむなざんよう
お松,おまつ
おまつり,おまつり
おミクじルーレット,おみくじるーれっと
オムライスが食べられない,おむらいすがたべられない
おめでとう、ありがとう。,おめでとう、ありがとう。
想い,おもい
思い描いた自分に,おもいえがいたじぶんに
思い描く道,おもいえがくみち
思い出,おもいで
想い出,おもいで
想イ出カケラ,おもいでかけら
オモイデコロン,おもいでころん
オモイデザクラ,おもいでざくら
思い出と記憶の狭間で,おもいでときおくのはざまで
思い出トワイライト,おもいでとわいらいと
思い出の墓場で,おもいでのはかばで
想い出メモリー,おもいでめもりー
オモイデワンルーム,おもいでわんるーむ
想い秘密,おもいひみつ
想ひ秘め咲く 緋之櫻,おもいひめさく ひのさくら
想色メロディック,おもいろめろでぃっく
オモイヲコエル,おもいをこえる
想いをこめて,おもいをこめて
想う、変わる、,おもう、かわる、
おもちの日,おもちのひ
おもちゃ遊び,おもちゃあそび
おもちゃばこの棺,おもちゃばこのひつぎ
オヤスミ/あかやかP,おやすみ
おやすみ。/melancholy,おやすみ
おやすみ/SHO（キセノンP）,おやすみ
オヤスミシナモン,おやすみしなもん
おやすみなさい/ムスカP,おやすみなさい
おやすみメトロポリック,おやすみめとろぽりっく
おやすみメール,おやすみめーる
おやすみララバイ,おやすみららばい
おやすみレインポップ,おやすみれいんぽっぷ
オラトリオ,おらとりお
オリエンタル・ニシニッポリ,おりえんたるにしにっぽり
オリエンタルマインド,おりえんたるまいんど
オリオンと雪,おりおんとゆき
オリオンと雪と,おりおんとゆきと
オリオンの夢,おりおんのゆめ
折倉俊則,おりくらとしのり
オリコン詐欺,おりこんさぎ
オリジナリティ,おりじなりてぃ
オリジン,おりじん
檻姫,おりひめ
オルゴールの歌姫,おるごーるのうたひめ
オルサ,おるさ
オルタナ,おるたな
オルタナティブ・パレイド,おるたなてぃぶぱれいど
オルターエゴ,おるたーえご
オルテンシア,おるてんしあ
俺の人生晴れ時々大荒れ,おれのじんせいはれときどきおおあれ
俺のロードローラーだッ！,おれのろーどろーらーだっ
俺はクッキーを焼き続ける,おれはくっきーをやきつづける
俺は刑務所に来たんじゃないぞ,おれはけいむしょにきたんじゃないぞ
オレンジ・ティーンズ,おれんじ　てぃーんず
オレンジスター,おれんじすたー
オレンジチョコ,おれんじちょこ
オレンジリミッター,おれんじりみったー
オレンジ・ソング,おれんじ・そんぐ
愚や人,おろやびと
オワコン動画,おわこんどうが
終わった世界の少女-Metal Dolls V-,おわったせかいのしょうじょ
終わってしまった夏の物語,おわってしまったなつのものがたり
不終夜,おわらずや
終わらない終わらない終わらない終わらない終わらない,おわらないおわらないおわらないおわらないおわらない
終わらないパレード,おわらないぱれーど
オワラナイユメ,おわらないゆめ
終わりなき蜻蛉の夢,おわりなきかげろうのゆめ
おわりのうた,おわりのうた
おわりのかぎ,おわりのかぎ
終わりのスタート,おわりのすたーと
終わり行く世界と、最後の僕ら。,おわりゆくせかいとさいごのぼくら
終わることないメロディ,おわることないめろでぃ
終わる世界の幸福論,おわるせかいのこうふくろん
終わる春の歌,おわるはるのうた
音楽家の歌,おんがくかのうた
音楽が好きな人たちへ,おんがくがすきなひとたちへ
音楽なんてわからない,おんがくなんてわからない
音楽の街,おんがくのまち
音程厨ピッチテスト,おんていちゅうぴっちてすと
女心と丁髷と髭,おんなごころとちょんまげとひげ
オンナの娘だもんっ!!!,おんなのこだもんっ!!!
女の子のスカートが突然めくれたりしないかなあ,おんなのこのすかーとがとつぜんめくれたりしないかなあ
オンナノコの設計図,おんなのこのせっけいず
オンノジ,おんのじ
音符で花束,おんぷではなたば
音力行使,おんりょくこうし
オーヴァークロック,おーうﾞぁーくろっく
オータムグリーン,おーたむぐりーん
オートマタ・オーヴァドライブ,おーとまたおーう゛ぁどらいぶ
オートマチック不眠症,おーとまちっくふみんしょう
オートメーションツール,おーとめーしょんつーる
オーネヘルツ,おーねへるつ
オーバーザタイムダンス,おーばーざたいむだんす
オーヴァーセンス,おーばーせんす
オーバードーズ,おーばーどーず
オーバーフローマイドール,おーばーふろーまいどーる
オーバーリピート,おーばーりぴーと
オーパーツをぶん投げろ,おーぱーつをぶんなげろ
オー！マネー・イズ・オール,おーまねーいずおーる
オールグリーン,おーるぐりーん
オールタイム れれれでぃお！,おーるたいむれれれでぃお
オールドノート,おーるどのーと
オールハロウズ,おーるはろうず
オーレリア,おーれりあ
オーロラは毛穴が開いてるだけじゃなかった,おーろらはけあながひらいてるだけじゃなかった
オーヴァーフロー,おーゔぁーふろー
母ちゃん、もう少しだけ,かあちゃん、もうすこしだけ
開運招福,かいうんしょうふく
回帰錯綜ストラグラー,かいきさくそうすとらぐらー
邂逅,かいこう
開口端補正,かいこうたんほせい
邂逅＆アクセラレーション,かいこう＆あくせられーしょん
解雇解雇にしてあげる,かいこかいこにしてあげる
懐古録,かいころく
悔恨,かいこん
怪獣少女は火を吹かない,かいじゅうしょうじょはひをふかない
怪晴,かいせい
快晴を裂いて,かいせいをさいて
廻旋シーズンズ,かいせんしーずんず
開戦前夜,かいせんぜんや
壊想,かいそう
海想,かいそう
回想夢,かいそうむ
回想リグレット,かいそうりぐれっと
懐中銀河,かいちゅうぎんが
海底深層ラプチャァ,かいていしんそうらぷちゃぁ
海底ファミリーレストラン,かいていふぁみりーれすとらん
カイト,かいと
怪盗☆ゆかりん！,かいとう☆ゆかりん！
解凍戦隊デンシレンジャー,かいとうせんたいでんしれんじゃー
怪盗ピーター＆ジェニイ,かいとうぴーたー＆じぇにい
快刀乱麻!!,かいとうらんま
怪盗！パパパパパンサー,かいとう！ぱぱぱぱぱんさー
カイトとお散歩,かいととおさんぽ
カイトとミクと扉の向こう様,かいととみくととびらのむこうさま
かいねこ,かいねこ
回避性パーソナリティ,かいひせいぱーそなりてぃ
開放願望 ～忘却の時～,かいほうがんぼう ぼうきゃくのとき
開幕-リプレースメント,かいまく-りぷれーすめんと
買い物がかり,かいものがかり
回遊,かいゆう
海洋生物と木星言語,かいようせいぶつともくせいげんご
快楽と葬儀、満たされないディナー,かいらくとそうぎみたされないでぃなー
かいわれ大根/CD,かいわれだいこん
カウントダウン,かうんとだうん
帰ってきたあいつのために,かえってきたあいつのために
楓/葉山つばめ,かえで
楓/るなちゅ,かえで
不帰ノ森（カエラズノモリ）,かえらずのもり
帰らない日々/こめ,かえらないひび
帰りたいよ,かえりたいよ
帰り道/におP,かえりみち
帰り道/涼風P,かえりみち
かえりみち　～秋の夕暮れ～,かえりみち　あきのゆうぐれ
カエロスティウム,かえろすてぃうむ
顔塗るな！　差別反対！,かおぬるなさべつはんたい
顔本耽溺ガール,かおぼんたんできがーる
香織,かおり
香織-カラクリ遊女-,かおりからくりゆうじょ
鹿驚,かかし
科学少女への憧憬と現実,かがくしょうじょへのしょうけいとげんじつ
かがくのちからってすげー！,かがくのちからってすげー！
鏡合わせの世界で,かがみあわせのせかいで
鏡入江,かがみいりえ
鏡唄,かがみうた
鏡影,かがみかげ
鏡に映せば,かがみにうつせば
カガミネ♪コーヒー,かがみね♪こーひー
かがみね草のうた,かがみねそうのうた
鏡音総理大臣,かがみねそうりだいじん
鏡音デビューです,かがみねでびゅーです
鏡音ミリオンランキング,かがみねみりおんらんきんぐ
鏡音リンの憂鬱,かがみねりんのゆううつ
鏡音リンレン放送局ジングル,かがみねりんれんほうそうきょくじんぐる
鏡音レンの憂鬱,かがみねれそのゆううつ
鏡音レンの消失/妹P,かがみねれんのしょうしつ
鏡音ロンちゃんがやってきた,かがみねろんちゃんがやってきた
鏡の残像,かがみのざんぞう
鏡の世界へ,かがみのせかい
鏡の中のジキルとハイド,かがみのなかのじきるとはいど
鏡ノ涙,かがみのなみだ
鏡の向こうに居る君と,かがみのむこうにいるきみと
かがみのむこう＞,かがみのむこう＞
鏡のメイデー,かがみのめいでー
カガミ☆メガミプロジェクト,かがみめがみぷろじぇくと
鏡恋歌-kagami renka-,かがみれんか
カガミ・ハンキョウ,かがみ・はんきょう
輝く希望の謳,かがやくきぼうのうた
輝く世界、終わりの歌,かがやくせかい、おわりのうた
篝火/ちいたな,かがりび
篝火カゲロウ,かがりびかげろう
カガリビト,かがりびと
篝火と霹靂,かがりびとへきれき
篝火のように,かがりびのように
柿太郎,かきたろう
鍵穴,かぎあな
鍵穴からパラレルワールド,かぎあなからぱられるわーるど
限りなく透明に近い水色,かぎりなくとうめいにちかいみずいろ
カギロヒ,かぎろひ
架空滑空,かくうかっくう
架空世界のファンタジア,かくうせかいのふぁんたじあ
花空想,かくうそう
架空のデジタルサウンドクリエイター,かくうのでじたるさうんどくりえいたー
架空窓口の閉鎖,かくうまどぐちのへいさ
各駅停車/アーニー,かくえきていしゃ
かくさしゃかい,かくさしゃかい
確証バイアス,かくしょうばいあす
確生剤,かくせいざい
覚醒ラブサバイバー/CD,かくせいらぶさばいばー
覚醒惑星,かくせいわくせい
隔絶≡タナトス,かくぜつ≡たなとす
カクテルグラスを傾けながら,かくてるぐらすをかたむけながら
革命/シグナルP,かくめい
革命家の散弾銃,かくめいかのさんだんじゅう
革命の碑,かくめいのひ
カクメイビッグバン,かくめいびっぐばん
確率ってなんだろなの歌,かくりつってなんだろなのうた
確率変動,かくりつへんどう
幽世の宴,かくりよのうたげ
隠れオタクでごめんなさい,かくれおたくでごめんなさい
かくれんぼ/ヒダリガワすらっしゅ,かくれんぼ
かくれんぼ/しましまP,かくれんぼ
かくれんぼの路地裏で,かくれんぼのろじうらで
カグナ,かぐな
赫夜姫-カグヤヒメ-,かぐやひめ
芳夜姫,かぐやひめ
欠けたることも,かけたることも
カケヒキゲーム,かけひきげーむ
欠片/sea-no,かけら
欠片/親友P,かけら
カケラ/ピノキオP,かけら
駆けろ！アーバンライナー,かけろ！あーばんらいなー
影,かげ
陰追い,かげおい
かげおくり,かげおくり
佳月,かげつ
華月怪改絵巻　〜かげつあやかしあらためえまき〜,かげつあやかしあらためえまき
佳月・夜桜,かげつよざくら
影とミクのワンダーストーリー,かげとみくのわんだーすとーりー
陰日向,かげひなた
カゲフミ,かげふみ
カゲフミガール,かげふみがーる
翳星,かげりぼし
陽炎/T-No.P,かげろう
陽炎/冬沙,かげろう
カゲロウデイズ,かげろうでいず
蜻蛉日記,かげろうにっき
カゲロリデイズ,かげろりでいず
過去形にできますか,かこけいにできますか
過去浸行形,かこしんこうけい
カコヌリエ,かこぬりえ
過去の花,かこのはな
過去の未来,かこのみらい
カコノミライとキカイの歌,かこのみらいときかいのうた
カゴ,かご
篭之鳥,かごのとり
籠の中の雛龍/CD,かごのなかのひなりゅう
かごめ唄,かごめうた
傘/A史,かさ
鵲-kasasagi-,かささぎ
累,かさね
傘の下に雨が降る,かさのしたにあめがふる
傘ノ涙,かさのなみだ
カサブタ,かさぶた
瘡蓋/釣り師P,かさぶた
瘡蓋/すだち,かさぶた
傘を差して,かさをさして
傘を忘れました,かさをわすれました
翳す生活,かざすせいかつ
風見鶏のメランコリ,かざみどりのめらんこり
香椎モイミ,かしいもいみ
カシオペイア,かしおぺいあ
夏秋霖,かしゅうりん
カシュー,かしゅー
過食性:アイドル症候群,かしょくせい:あいどるしょうこうぐん
柏餅P,かしわもち
歌詞を乱数で生成した歌,かしをらんすうでせいせいしたうた
果実,かじつ
過剰摂取,かじょうせっしゅ
過剰な増幅、反復への偏執、ある諦観に関わる11の集積。/CD,かじょうなぞうふくはんぷくへのへんしつあるていかんにかかわるじゅういちのしゅうせき
春日通り,かすがどおり
カステラ,かすてら
かすてら日和,かすてらびより
霞草,かすみそう
一葉,かずは
和丸,かずまる
風,かぜ
風がそっと...,かぜかがそっと...
風が吹く丘で,かぜがふくおかで
風が吹けば人類が終わる,かぜがふけばじんるいがおわる
かぜきり音,かぜきりおん
風と水の捧げ歌,かぜとみずのささげうた
風に吹かれて/画伯P,かぜにふかれて
風に吹かれて/田中B,かぜにふかれて
風に揺れるサクラ、君色のミライ,かぜにゆれるさくら、きみいろのみらい
カゼノカケラ,かぜのかけら
風の嗣子,かぜのしし
風の手紙,かぜのてがみ
風の岬,かぜのみさき
風の物語,かぜのものがたり
風のように降りそそぎたいうた,かぜのようにふりそそぎたいうた
風舞う世界の果てへ,かぜまうせかいのはてへ
風待草,かぜまちぐさ
カゼマチグサ,かぜまちぐさ
風待ちハローワールド,かぜまちはろーわーるど
風モグラ,かぜもぐら
風、夢、空,かぜゆめそら
風を見る人,かぜをみるひと
花葬/なぎさ,かそう
歌葬 -Song of the last love-,かそう
花葬歌,かそうか
仮想記憶より愛をこめて,かそうきおくよりあいをこめて
仮想現実,かそうげんじつ
仮想少年は空を飛べない,かそうしょうねんはそらをとべない
仮想世界より愛をこめて,かそうせかいよりあいをこめて
仮想線ルーシッド,かそうせんるーしっど
仮想的有能感,かそうてきゆうのうかん
仮想遊泳,かそうゆうえい
花想夕夢,かそうゆうむ
加速世界 -アクセルワールド-,かそくせかい -あくせるわーるど-
数え唄,かぞえうた
数え歌/竹輪P,かぞえうた
華添え詩,かぞえうた
家族パズル,かぞくぱずる
片足のウェンディ,かたあしのうぇんでぃ
片想い,かたおもい
片思いドロップス,かたおもいどろっぷす
片想いの茜,かたおもいのあか
片想いの街路樹,かたおもいのがいろじゅ
片想いの、Summer,かたおもいのさまー
禍蛇渦蛇,かたかた
肩から毛が生えてきた,かたからけがはえてきた
片隅,かたすみ
片手間のナイフ,かたてまのないふ
刀歌/CD,かたなうた
肩のところの輪っかみたいなアレ,かたのところのわっかみたいなあれ
カタリテ,かたりて
カタルカタラヌ,かたるかたらぬ
カタルシス/リンゴンP,かたるしす
カタルシス/ずどどんP,かたるしす
片恋歌,かたれんか
片割れオルゴール,かたわれおるごーる
化蛇の幻肢痛,かだのげんしつう
家畜たちの消失 -FARM END-,かちくたちのしょうしつ
渦中にて,かちゅうにて
花鳥風月/ケトラP,かちょうふうげつ
花鳥風月/CD,かちょうふうげつ
花鳥風月/くろずみP,かちょうふうげつ
花蝶風月,かちょうふうげつ
カッターナイフ,かったーないふ
買ってください。,かってください
カップ焼きそばの湯切り前にソースを入れたときのエレジー,かっぷやきそばのゆぎりまえにそーすをいれたときのえれじー
渇愛/CD,かつあい
滑舌厨早口テスト,かつぜつちゅうはやくちてすと
カテコテキーパー,かてこてきーぱー
家電祭り,かでんまつり
カトレアのくちづけ,かとれあのくちづけ
カドワナルカ＝サーガ,かどわなるかさーが
叶えよラッタッタ！,かなえよらったった！
悲しい気持ちにはさせやしない,かなしいきもちにはさせやしない
悲しい卵のうた,かなしいたまごのうた
悲しきアジテーター,かなしきあじてーたー
悲しき天丼の物語,かなしきてんどんのものがたり
カナシミ／テレパス,かなしみてれぱす
哀しみのコルドバ,かなしみのこるどば
悲しみのプロローグ／願い,かなしみのぷろろーぐ　ねがい
彼方/クリスタルP,かなた
カナタジュン,かなたじゅん
彼方まで虹を架けて,かなたまでにじをかけて
カナリ,かなり
カナリア/baker,かなりあ
カナリア/charly2,かなりあ
カナリア/てぃあら,かなりあ
カナリア/CD,かなりあ
カナリア拾六号ト愛ノ悠詩,かなりあじゅうろくごうとあいのうた
カナリアハート,かなりあはーと
カナリアマリア,かなりあまりあ
夏鳴屋,かなりや
叶わない夢、届かない戯言,かなわないゆめとどかないざれごと
叶わぬ想い/左乳首P,かなわぬおもい
叶わぬ恋に,かなわぬこいに
叶わぬ恋の物語,かなわぬこいのものがたり
金稼ぎのロジック,かねかせぎのろじっく
カネツネ博士の夢,かねつねはかせのゆめ
鐘の音に,かねのねに
金星人,かねぼしじん
金を回せ,かねをまわせ
可燃人生,かねんじんせい
鹿乃,かの
叶,かのう
可能性,かのうせい
可能性と未来の狭間に沈む,かのうせいとみらいのはざまにしずむ
可能世界論,かのうせかいろん
彼の王は泥より生まれた,かのおうはどろよりうまれた
彼女いるやつちょっと来い,かのじょいるやつちょっとこい
彼女にオタクがバレた,かのじょにおたくがばれた
彼女の描いた庭,かのじょのえがいたにわ
彼女は何も悪くない,かのじょはなにもわるくない
カノンの花束,かのんのはなたば
カノープス,かのーぷす
カノープスが落ちた夜,かのーぷすがおちたよる
尸に接吻,かばねにくちづけ
カフェラッテ,かふぇらって
花粉が街にやってくる,かふんがまちにやってくる
花粉症かと思ったら風邪だった,かふんしょうかとおもったらかぜだった
カフ＠,かふ＠
株式会社巡音水産・社歌,かぶしきがいしゃめぐりねすいさんしゃか
カブトにキックしたらタイムスリップしなかった,かぶとにきっくしたらたいむすりっぷしなかった
カプセル/kuroA,かぷせる
カプセル/CD,かぷせる
カプチーノ苦すぎるの,かぷちーのにがすぎるの
カプチーノ・エデン,かぷちーの・えでん
壁,かべ
壁殴り代行はじめました,かべなぐりだいこうはじめました
かぼちゃスマイル,かぼちゃすまいる
カボチャになっちゃった！,かぼちゃになっちゃった
かぼちゃの呪い,かぼちゃののろい
かぼちゃパレード,かぼちゃぱれーど
かまぼこが見た夢,かまぼこがみたゆめ
かまぼこ将軍,かまぼこしょうぐん
神楽水妖,かみあそびみずのおよずれ
神隠し,かみかくし
カミカゼ狂乱舞,かみかぜきょうらんぶ
神風祭,かみかぜまつり
カミカゼロケッティア,かみかぜろけってぃあ
神騙りの愚者への断罪と懲罰,かみかたりのぐしゃへのだんざいとちょうばつ
噛み噛み,かみかみ
神曲/おにゅうP,かみきょく
紙切れのセカイ,かみきれのせかい
カミクズビルダー,かみくずびるだー
紙崎ねい,かみさきねい
かみさま、あなたの言うとおり,かみさまあなたのいうとおり
神様お願い,かみさまおねがい
神様からのアンケート,かみさまからのあんけーと
神様と人生論,かみさまとじんせいろん
神様なんていらない僕らの,かみさまなんていらないぼくらの
神様に終止符を,かみさまにピリオドを
神様の云う通り,かみさまのいうとおり
カミサマの宇宙アメ,かみさまのうちゅうあめ
神様の風に吹かれて,かみさまのかぜにふかれて
神様のファインダー,かみさまのふぁいんだー
かみさまの街,かみさまのまち
神様の森,かみさまのもり
神様の憂鬱,かみさまのゆううつ
神様は朝に目覚める,かみさまはあさにめざめる
神様、わたしの性別間違えてます。,かみさまわたしのせいべつまちがえてます
紙細工,かみざいく
カミダノミ,かみだのみ
神と命と,かみといのちと
神乃風,かみのかぜ
カミノユリカゴ,かみのゆりかご
紙飛行機,かみひこうき
髪結,かみゆい
神居古潭,かむいこたん
神威夢奏,かむいむそう
神居謡,かむいよう
神楽美咲,かむらみさき
カメラガール,かめらがーる
カメレオン・ラブ,かめれおんらぶ
仮面,かめん
科目屋一花凛,かもくやいちはなりん
科目屋一木連,かもくやいちもくれん
科目屋ノ変,かもくやのへん
醸され納豆ダイイング・トゥナイト,かもされなっとうだいいんぐ・とぅないと
カヤ,かや
痒痒天国,かゆかゆてんごく
殻,から
空椅子　ーカライスー,からいす
笑笑笑,からからから
辛辛味噌味中華インドカツ丼,からからみそあじちゅうかいんどかつどん
から狂り,からくり
機巧-KARAKURI-,からくり
絡繰賛歌,からくりさんか
カラクリスクラップ,からくりすくらっぷ
からくり時計と恋の話,からくりとけいとこいのはなし
からくりピエロ,からくりぴえろ
殻鎖,からざ
烏が翔んだ日,からすがとんだひ
鴉の帰り道,からすのかえりみち
カラスの背中に乗っかって,からすのせなかにのっかって
からっきしの傘,からっきしのかさ
空っぽ,からっぽ
空っぽの心から,からっぽのこころから
空匣 ～for humint～,からばこ
カラバコにアイ,からばこにあい
カラバン,からばん
からふね,からふね
カラフル/Takuyaboy,からふる
カラフルシロップ,からふるしろっぷ
カラフルスキップ,からふるすきっぷ
カラフルスムージー,からふるすむーじー
カラフル世界作戦,からふるせかいさくせん
カラフル×セクシィ,からふるせくしぃ
カラフルな雨とモノクロの記憶,からふるなあめとものくろのきおく
カラフル・パラダイス,からふるぱらだいす
カラフルパレット,からふるぱれっと
カラフルフライト,からふるふらいと
カラフルボイス,からふるぼいす
カラフルポップビート,からふるぽっぷびーと
カラフル×メロディ,からふるめろでぃ
カラフル×メロディ/CD,からふるめろでぃ
カラフル・ブルー,からふる・ぶるー
カラ鞠の花,からまりのはな
カランコエ/やしきん,からんこえ
カラーブラインド,からーぶらいんど
カリカチュア,かりかちゅあ
仮初めのリコリス,かりそめのりこりす
借り物の最高傑作,かりもののさいこうけっさく
狩人と猫,かりゅうどとねこ
カルアに注ぐ執着,かるあにそそぐしゅうちゃく
カルミア/Kun,かるみあ
カルミア/41,かるみあ
カレイドスイミング,かれいどすいみんぐ
枯れ井戸スコピックワールド,かれいどすこぴっくわーるど
カレイドスコープ/ボカロ互助会,かれいどすこーぷ
＃彼氏いません,かれしいません
彼氏がオタクだった,かれしがおたくだった
彼氏が死んじゃった。,かれしがしんじゃった。
カレス,かれす
枯れない桜,かれないさくら
枯れない名前E.P,かれないなまえ
彼にハイキック食らわせたったｗｗｗ,かれにはいきっくくらわせたった
枯れぬ花,かれぬはな
彼は,かれは
彼葉唄,かれはうた
枯葉舞う季節,かれはまうきせつ
枯芙蓉,かれふよう
カレン　～永遠の歌～,かれん
花恋風月,かれんふうげつ
カレー屋でせおちゃん！ラーメン大盛り,かれーやでせおちゃんらーめんおおもり
かわいいクマを撃たないで,かわいいくまをうたないで
かわいいにもほどがある,かわいいにもほどがある
カワイイノガステキ！,かわいいのがすてき
川上千吉,かわかみちき
乾きの大地と銀の月夜,かわきのだいちとぎんのつきよ
カワセミ,かわせみ
川沿ルーザー,かわぞえるーざー
かわゆいから許す,かわゆいからゆるす
変わらぬオモイ,かわらぬおもい
変わる世界で,かわるせかいで
感隔ミュート,かんかくみゅーと
考える脳の引き金,かんがえるのうのひきがね
カンケイナイトファンキー,かんけいないとふぁんきー
関係メカニズム,かんけいめかにずむ
韓国の皆さん　死んでください,かんこくのみなさん　しんでください
観察眼,かんさつがん
カンザキイオリ,かんざきいおり
勧酒 (quanjiu),かんしゅ
甘蕉,かんしょう
感傷癖の神様,かんしょうへきのかみさま
感情交差点,かんじょうこうさてん
環状線上のアリア,かんじょうせんじょうのありあ
感情トラベルス,かんじょうとらべるす
感情泥棒,かんじょうどろぼう
感情のないバクの給水庭園,かんじょうのないばくのおあしす
感情の波,かんじょうのなみ
感情八号線,かんじょうはちごうせん
感情ハッキング,かんじょうはっきんぐ
感情バイバイ,かんじょうばいばい
感情リフレイン,かんじょうりふれいん
完全性コンプレックス,かんぜんせいこんぷれっくす
完全な構想,かんぜんなこうそう
完全犯罪,かんぜんはんざい
完全無敵のテロリスト,かんぜんむてきのてろりすと
観測,かんそく
カンタレラ,かんたれら
カンタワワ,かんたわわ
カンタービレ×パッシオーネ,かんたーびれぱっしおーね
カンデラ,かんでら
カンナギ,かんなぎ
神無月の焦燥,かんなづきのしょうそう
神無月夜,かんなづきよ
甘美なワルツ,かんびなわるつ
カンフー少女は前を向く,かんふーしょうじょはまえをむく
甘味と感情線,かんみとかんじょうせん
緘黙,かんもく
カーソルライダー,かーそるらいだー
J( 'ー`)し カーチャン,かーちゃん
カードゲーム,かーどげーむ
カーネーション,かーねーしょん
カーリー,かーりー
外界,がいかい
街燈とメリーゴーランド,がいとうとめりーごーらんど
ガイド,がいど
ガウル,がうる
芽牙,がが
学園ヴァンパイア,がくえんうﾞぁんぱいあ
がくぽがケチャを踊りたくなったようです,がくぽがけちゃをおどりたくなったようです
ガタ,がた
ガチャ（Precieams）,がちゃ
学会員２世,がっかいいんにせい
学級戦争,がっきゅうせんそう
学校を休んだ日のこと,がっこうをやすんだひのこと
ガディス・ジュラガ,がでぃす・じゅらが
ガメオベラゲームマスター,がめおべらげーむますたー
我楽多イノセンス,がらくたいのせんす
ガラクタ言語論,がらくたげんごろん
ガラクタコレクト,がらくたこれくと
ガラクタのアルペジオ,がらくたのあるぺじお
ガラクタのエレジー,がらくたのえれじー
ガラクタノ世界,がらくたのせかい
がらくたの僕に,がらくたのぼくに
がらくたのマーチ,がらくたのまーち
ガラクタ姫とアポストロフ,がらくたひめとあぽすとろふ
ガラクタポップス,がらくたぽっぷす
ガラクタライフ/CD,がらくたらいふ
硝子色のアイリス,がらすいろのあいりす
ガラスカンヅメシンデレラ,がらすかんづめしんでれら
硝子細工の少女,がらすざいくのしょうじょ
